peak_pos,onset,diastolic_notch
306,269.0,349.0
461,420.0,512.0
781,883.0,980.0
939,883.0,980.0
1091,1035.0,1119.0
1241,1191.0,1278.0
1571,1533.0,1621.0
1896,1857.0,1941.0
2228,2187.0,2266.0
2390,2350.0,2428.0
2553,2513.0,2591.0
2715,2675.0,2753.0
2878,2838.0,2917.0
3042,3002.0,3081.0
3206,3166.0,3245.0
3369,3329.0,3407.0
3531,3491.0,3569.0
3691,3651.0,3729.0
3857,3816.0,3896.0
4020,3980.0,4059.0
4185,4144.0,4231.0
4597,4545.0,4640.0
4831,4964.0,5065.0
4995,4964.0,5065.0
5646,5615.0,5702.0
6336,6254.0,6370.0
6493,6428.0,6518.0
6775,6863.0,6993.0
7240,7377.0,7460.0
7583,7546.0,7617.0
7752,7709.0,7848.0
7878,8013.0,8095.0
8218,8179.0,8256.0
8387,8345.0,8428.0
8519,8487.0,8561.0
8859,8821.0,8897.0
9027,8985.0,9066.0
9187,9148.0,9225.0
9683,9708.0,9834.0
9869,9913.0,10047.0
10346,10306.0,10381.0
10514,10473.0,10548.0
10660,10625.0,10701.0
10836,10792.0,10876.0
10995,10957.0,11034.0
11162,11121.0,11202.0
11291,11260.0,11333.0
11635,11595.0,11673.0
11797,11757.0,11835.0
11957,11917.0,11995.0
12121,12080.0,12159.0
12283,12243.0,12321.0
12451,12410.0,12575.0
12614,12739.0,12819.0
12783,12739.0,12819.0
13415,13474.0,13613.0
14411,14476.0,14586.0
15221,15346.0,15415.0
15717,15677.0,15817.0
15844,15908.0,16000.0
15980,15908.0,16000.0
16177,16240.0,16345.0
16794,16738.0,16828.0
17127,17088.0,17160.0
17293,17251.0,17333.0
17424,17393.0,17466.0
17599,17556.0,17639.0
17755,17718.0,17793.0
17926,17883.0,17965.0
18085,18047.0,18124.0
18566,18693.0,18772.0
18734,18693.0,18772.0
18902,18861.0,18936.0
19065,19025.0,19104.0
19229,19189.0,19268.0
19398,19357.0,19437.0
19566,19525.0,19605.0
19736,19694.0,19836.0
19867,20008.0,20092.0
20219,20178.0,20257.0
20571,20651.0,20759.0
20872,20991.0,21085.0
21192,21152.0,21229.0
21347,21308.0,21385.0
21497,21460.0,21535.0
21650,21612.0,21688.0
21801,21763.0,21838.0
21951,21913.0,21988.0
22099,22062.0,22136.0
22250,22212.0,22365.0
22404,22830.0,22989.0
22558,22830.0,22989.0
22711,22830.0,22989.0
26333,26251.0,26392.0
26991,27786.0,27959.0
27158,27786.0,27959.0
27326,27786.0,27959.0
27492,27786.0,27959.0
27658,27786.0,27959.0
27828,27786.0,27959.0
27999,28175.0,28259.0
28161,28175.0,28259.0
29314,29414.0,29548.0
30151,30612.0,30785.0
30314,30612.0,30785.0
30482,30612.0,30785.0
33483,33438.0,33533.0
34191,34397.0,34593.0
34361,34397.0,34593.0
38996,39067.0,39177.0
40447,40406.0,40485.0
40615,40574.0,40654.0
40783,40742.0,40822.0
40946,40906.0,40985.0
41113,41072.0,41152.0
41276,41236.0,41315.0
41440,41400.0,41564.0
41602,41725.0,41778.0
42244,42204.0,42282.0
42404,42364.0,42442.0
42562,42523.0,42600.0
42719,42680.0,42757.0
42877,42838.0,42915.0
43037,42997.0,43075.0
43195,43156.0,43233.0
43353,43314.0,43391.0
43513,43473.0,43551.0
43676,43636.0,43714.0
43839,43799.0,43878.0
43998,43959.0,44036.0
44158,44118.0,44196.0
44316,44277.0,44354.0
44476,44436.0,44514.0
44631,44593.0,44669.0
44785,44746.0,44822.0
44941,44902.0,44979.0
45099,45060.0,45137.0
45256,45217.0,45294.0
45408,45370.0,45445.0
45564,45525.0,45602.0
45722,45683.0,45760.0
45881,45842.0,45919.0
46033,45996.0,46071.0
46187,46148.0,46224.0
46342,46304.0,46380.0
46496,46457.0,46533.0
46646,46608.0,46683.0
46797,46759.0,46834.0
46953,46914.0,46991.0
47103,47066.0,47140.0
47258,47219.0,47296.0
47410,47372.0,47448.0
47564,47525.0,47601.0
47717,47679.0,47755.0
47867,47829.0,47904.0
48017,47979.0,48054.0
48168,48130.0,48205.0
48316,48279.0,48354.0
48465,48428.0,48503.0
48615,48577.0,48652.0
48765,48727.0,48802.0
48916,48878.0,48953.0
49066,49028.0,49103.0
49217,49179.0,49254.0
49367,49329.0,49404.0
49517,49479.0,49554.0
49672,49633.0,49710.0
49824,49786.0,49862.0
49976,49938.0,50014.0
50131,50092.0,50169.0
50281,50244.0,50318.0
50433,50395.0,50471.0
50584,50546.0,50621.0
50738,50699.0,50775.0
50894,50855.0,50932.0
51049,51011.0,51087.0
51199,51161.0,51236.0
51348,51310.0,51385.0
51498,51460.0,51535.0
51644,51607.0,51681.0
51793,51755.0,51830.0
51942,51904.0,51979.0
52094,52055.0,52131.0
52239,52208.0,52317.0
52545,52510.0,52565.0
52701,52634.0,52740.0
52863,52827.0,52890.0
53166,53123.0,53184.0
53476,53445.0,53509.0
53618,53645.0,53761.0
53797,53801.0,53906.0
53949,54128.0,54213.0
54090,54128.0,54213.0
54253,54349.0,54413.0
54381,54349.0,54413.0
54541,54502.0,54583.0
54695,54662.0,54734.0
54849,54811.0,54889.0
55006,54963.0,55049.0
55156,55117.0,55195.0
55309,55271.0,55350.0
55465,55425.0,55502.0
55780,55739.0,55860.0
55935,55896.0,55973.0
56097,56057.0,56135.0
56257,56218.0,56296.0
56418,56378.0,56456.0
56580,56540.0,56618.0
56742,56702.0,56778.0
56903,56931.0,57037.0
57057,57181.0,57309.0
57382,57422.0,57496.0
57950,57831.0,57999.0
58028,58164.0,58288.0
58245,58164.0,58288.0
58839,58798.0,58873.0
59000,58960.0,59034.0
59162,59122.0,59196.0
59322,59282.0,59360.0
59482,59442.0,59520.0
59642,59602.0,59680.0
59806,59765.0,59844.0
59972,59931.0,60010.0
60140,60099.0,60179.0
60306,60265.0,60344.0
60474,60433.0,60513.0
60644,60602.0,60683.0
60814,60772.0,60853.0
60980,60939.0,61019.0
61139,61101.0,61244.0
61265,61300.0,61409.0
61536,61466.0,61576.0
62162,62066.0,62227.0
62312,62381.0,62518.0
62722,62686.0,62759.0
63434,63525.0,63698.0
65404,65326.0,65458.0
65596,65556.0,65661.0
65920,65878.0,65958.0
66086,66045.0,66125.0
66249,66209.0,66288.0
66414,66373.0,66536.0
66726,66858.0,67003.0
66942,66858.0,67003.0
67415,67356.0,67497.0
67702,67735.0,67804.0
67885,67924.0,68073.0
68266,68219.0,68314.0
68435,68365.0,68514.0
68657,68594.0,68688.0
69019,68981.0,69053.0
69180,69139.0,69218.0
69333,69295.0,69371.0
69488,69449.0,69525.0
69642,69603.0,69679.0
69801,69761.0,69839.0
69959,69920.0,69998.0
70113,70074.0,70150.0
70271,70232.0,70309.0
70431,70391.0,70469.0
70594,70553.0,70632.0
70756,70716.0,70795.0
70912,70873.0,70950.0
71070,71031.0,71108.0
71230,71190.0,71268.0
71389,71350.0,71427.0
71545,71506.0,71583.0
71701,71662.0,71739.0
71855,71816.0,71892.0
72010,71971.0,72048.0
72164,72125.0,72201.0
72318,72279.0,72353.0
72464,72480.0,72591.0
72633,72744.0,72821.0
72783,72744.0,72821.0
72937,72898.0,72974.0
73089,73052.0,73129.0
73219,73189.0,73346.0
73691,73654.0,73726.0
73821,73788.0,73857.0
73988,73946.0,74028.0
74138,74102.0,74176.0
74293,74254.0,74332.0
74422,74391.0,74462.0
74588,74546.0,74627.0
74737,74701.0,74775.0
74892,74853.0,74929.0
75045,75007.0,75083.0
75199,75160.0,75236.0
75349,75311.0,75386.0
75500,75462.0,75537.0
75654,75615.0,75691.0
75808,75769.0,75845.0
75959,75921.0,75996.0
76113,76074.0,76150.0
76265,76227.0,76302.0
76422,76382.0,76460.0
76576,76537.0,76613.0
76734,76695.0,76772.0
76892,76853.0,76930.0
77052,77012.0,77091.0
77211,77172.0,77249.0
77369,77330.0,77407.0
77525,77486.0,77563.0
77680,77642.0,77718.0
77838,77799.0,77876.0
77994,77955.0,78032.0
78150,78111.0,78188.0
78308,78269.0,78346.0
78465,78426.0,78503.0
78621,78582.0,78659.0
78779,78740.0,78817.0
78935,78896.0,78973.0
79094,79054.0,79132.0
79247,79209.0,79285.0
79402,79363.0,79439.0
79556,79517.0,79593.0
79713,79673.0,79750.0
79869,79830.0,79906.0
80031,79991.0,80069.0
80194,80154.0,80233.0
80357,80317.0,80395.0
80519,80479.0,80557.0
80681,80641.0,80719.0
80846,80805.0,80885.0
81012,80971.0,81051.0
81178,81137.0,81300.0
81340,81460.0,81621.0
81658,81875.0,82036.0
82629,82755.0,82898.0
82798,82755.0,82898.0
82930,83070.0,83152.0
83279,83238.0,83317.0
83447,83406.0,83568.0
83606,83723.0,83803.0
84291,84233.0,84349.0
85371,85411.0,85509.0
86807,86770.0,86845.0
86963,86924.0,87001.0
87117,87078.0,87154.0
87271,87232.0,87308.0
87428,87388.0,87466.0
87582,87543.0,87619.0
87734,87696.0,87772.0
87883,87846.0,87921.0
88033,87995.0,88070.0
88183,88145.0,88220.0
88332,88295.0,88370.0
88481,88443.0,88518.0
88914,88957.0,89046.0
89089,89308.0,89431.0
89528,89483.0,89561.0
89672,89688.0,89795.0
89815,89911.0,90039.0
90116,90145.0,90289.0
90243,90145.0,90289.0
90408,90376.0,90443.0
90553,90517.0,90586.0
90692,90657.0,90721.0
90844,90805.0,90882.0
90990,90954.0,91027.0
91135,91099.0,91173.0
91279,91242.0,91316.0
91426,91388.0,91463.0
91575,91537.0,91612.0
91721,91684.0,91758.0
