peak_pos,onset,diastolic_notch
322,282.0,360.0
982,941.0,1016.0
1150,1109.0,1185.0
1318,1277.0,1357.0
1491,1449.0,1531.0
1662,1620.0,1700.0
1835,1793.0,1875.0
2002,1961.0,2040.0
2179,2135.0,2219.0
2352,2310.0,2391.0
2527,2484.0,2567.0
2699,2657.0,2738.0
2876,2833.0,2916.0
3046,3005.0,3085.0
3220,3178.0,3260.0
3387,3346.0,3426.0
3545,3506.0,3583.0
3703,3664.0,3742.0
3853,3816.0,3891.0
4008,3969.0,4045.0
4158,4120.0,4195.0
4307,4270.0,4344.0
4455,4418.0,4493.0
4613,4565.0,4636.0
4799,4729.0,4865.0
4904,5025.0,5097.0
5064,5025.0,5097.0
5217,5179.0,5249.0
5375,5336.0,5413.0
5537,5497.0,5575.0
5700,5660.0,5739.0
5867,5826.0,5905.0
6033,5992.0,6071.0
6199,6158.0,6237.0
6365,6324.0,6403.0
6531,6490.0,6569.0
6697,6656.0,6735.0
6863,6822.0,6901.0
7031,6990.0,7070.0
7197,7156.0,7236.0
7360,7320.0,7399.0
7533,7490.0,7572.0
7705,7663.0,7744.0
8043,8005.0,8182.0
10449,11255.0,11408.0
10606,11255.0,11408.0
10762,11255.0,11408.0
10914,11255.0,11408.0
11067,11255.0,11408.0
14566,14530.0,14613.0
14753,14912.0,15032.0
14883,14912.0,15032.0
16158,16064.0,16191.0
16314,16273.0,16351.0
16477,16437.0,16514.0
16640,16600.0,16674.0
16804,16764.0,16843.0
16967,16927.0,17005.0
17127,17087.0,17165.0
17287,17247.0,17325.0
17449,17409.0,17487.0
17608,17570.0,17645.0
17771,17806.0,18011.0
19516,19922.0,20054.0
19669,19922.0,20054.0
20433,20499.0,20603.0
23073,23185.0,23279.0
23220,23185.0,23279.0
23388,23340.0,23411.0
23709,23662.0,23749.0
23866,23982.0,24056.0
24027,23982.0,24056.0
24197,24147.0,24224.0
24358,24455.0,24557.0
24511,24455.0,24557.0
24676,24624.0,24707.0
24842,24811.0,24889.0
24995,24950.0,25043.0
25168,25128.0,25206.0
25328,25288.0,25365.0
25494,25453.0,25533.0
25656,25616.0,25694.0
25814,25775.0,25852.0
25981,25939.0,26019.0
26144,26104.0,26183.0
26311,26270.0,26349.0
26477,26436.0,26515.0
26643,26602.0,26681.0
26809,26768.0,26848.0
26972,26932.0,27011.0
27136,27096.0,27175.0
27300,27260.0,27339.0
27463,27423.0,27501.0
27623,27583.0,27661.0
27781,27742.0,27819.0
27941,27901.0,27979.0
28098,28059.0,28135.0
