peak_pos,onset,diastolic_notch
469,406.0,510.0
699,636.0,740.0
928,866.0,972.0
1162,1098.0,1203.0
1403,1338.0,1445.0
1641,1576.0,1682.0
1887,1820.0,1929.0
2127,2062.0,2302.0
2367,3687.0,3923.0
2613,3687.0,3923.0
2855,3687.0,3923.0
3082,3687.0,3923.0
3308,3687.0,3923.0
3527,3687.0,3923.0
4610,5182.0,5393.0
4819,5182.0,5393.0
5029,5182.0,5393.0
5240,5182.0,5393.0
5445,5597.0,5725.0
5893,5822.0,5967.0
6293,6235.0,6356.0
6520,6463.0,6582.0
6932,6806.0,6980.0
7609,7622.0,7718.0
7874,7744.0,7901.0
8470,8410.0,8511.0
8699,8636.0,8739.0
8932,8869.0,8973.0
9166,9102.0,9207.0
9404,9339.0,9445.0
9645,9580.0,9687.0
9879,9816.0,9920.0
10114,10050.0,10156.0
10352,10288.0,10394.0
10583,10521.0,10624.0
10811,10749.0,10851.0
11037,10975.0,11077.0
11266,11204.0,11307.0
11923,11956.0,12070.0
12223,12122.0,12269.0
12378,12326.0,12447.0
12622,12653.0,12734.0
13128,13076.0,13160.0
13329,13363.0,13482.0
13547,13574.0,13714.0
13996,13935.0,14036.0
14213,14154.0,14253.0
14428,14369.0,14467.0
14636,14579.0,14675.0
14841,14785.0,14880.0
15045,14989.0,15083.0
15249,15193.0,15288.0
15458,15401.0,15497.0
15670,15612.0,15709.0
15878,15821.0,15917.0
16091,16033.0,16130.0
16299,16242.0,16337.0
16506,16449.0,16544.0
16703,16640.0,16743.0
16906,16855.0,16950.0
17102,17032.0,17170.0
17508,17441.0,17556.0
17882,17810.0,17938.0
18079,18029.0,18123.0
18318,18243.0,18342.0
18576,18474.0,18599.0
18807,18744.0,18908.0
19044,18978.0,19076.0
19268,19209.0,19348.0
19492,19434.0,19539.0
19705,19651.0,19735.0
20107,20051.0,20193.0
20297,20250.0,20354.0
20500,20459.0,20555.0
20963,20901.0,21003.0
21194,21131.0,21235.0
21435,21483.0,21553.0
21698,21879.0,21990.0
21945,21879.0,21990.0
22204,22135.0,22248.0
22461,22392.0,22505.0
22720,22652.0,22766.0
22965,22934.0,23030.0
24014,24030.0,24112.0
24308,24231.0,24362.0
24717,24633.0,24770.0
25077,24973.0,25136.0
25271,25177.0,25302.0
26523,26542.0,26691.0
26856,26931.0,27034.0
27233,27177.0,27275.0
27484,27417.0,27529.0
27716,27655.0,27757.0
27944,27882.0,27984.0
28159,28101.0,28322.0
28383,29352.0,29519.0
28610,29352.0,29519.0
28841,29352.0,29519.0
29079,29352.0,29519.0
31647,32097.0,32212.0
31906,32097.0,32212.0
32167,32097.0,32212.0
32433,32362.0,32490.0
32689,32615.0,32741.0
32964,32893.0,33077.0
33244,33420.0,33543.0
33493,33420.0,33543.0
33745,33662.0,33793.0
33981,33897.0,33999.0
34422,34345.0,34443.0
34617,34557.0,34650.0
34818,34764.0,34873.0
35009,34961.0,35078.0
35218,35165.0,35271.0
35375,35340.0,35409.0
36197,36136.0,36260.0
36619,36559.0,36658.0
36842,36781.0,36882.0
37074,37010.0,37114.0
37319,37252.0,37361.0
37572,37503.0,37615.0
37824,37756.0,37867.0
38088,38017.0,38133.0
38364,38290.0,38411.0
38638,38565.0,38684.0
38910,38838.0,38956.0
39179,39107.0,39225.0
39447,39376.0,39492.0
39716,39644.0,39762.0
39993,39919.0,40040.0
40270,40196.0,40315.0
42541,42452.0,42604.0
44810,44742.0,44852.0
45067,44997.0,45111.0
45342,45268.0,45388.0
45610,45539.0,45656.0
45876,45805.0,45921.0
46125,46059.0,46168.0
46385,46315.0,46429.0
46654,46581.0,46699.0
46944,46866.0,46992.0
47234,47157.0,47283.0
47519,47444.0,47567.0
47800,47726.0,47847.0
48083,48009.0,48131.0
48346,48292.0,48402.0
49079,49028.0,49163.0
49527,49458.0,49550.0
49722,49632.0,49761.0
49926,49870.0,49964.0
50124,50071.0,50162.0
50465,50377.0,50520.0
50674,50658.0,50739.0
51212,51411.0,51485.0
51332,51411.0,51485.0
51563,51928.0,52059.0
51759,51928.0,52059.0
53287,53426.0,53569.0
53769,53665.0,53792.0
54134,54206.0,54340.0
54282,54206.0,54340.0
54554,54466.0,54622.0
54742,54676.0,54763.0
54925,54872.0,54963.0
55127,55071.0,55163.0
55324,55269.0,55361.0
55524,55469.0,55561.0
55723,55668.0,55760.0
55926,55870.0,55964.0
56129,56073.0,56167.0
56340,56282.0,56379.0
56548,56491.0,56587.0
56757,56700.0,56796.0
56969,56911.0,57008.0
57181,57123.0,57220.0
57394,57336.0,57433.0
57614,57554.0,57654.0
57827,57769.0,57866.0
58039,57981.0,58078.0
58240,58197.0,58308.0
58486,58425.0,58515.0
58950,58880.0,58981.0
59170,59122.0,59194.0
59382,59329.0,59434.0
59980,59935.0,60026.0
60180,60137.0,60196.0
60389,60336.0,60439.0
60585,60546.0,60645.0
60803,60767.0,60868.0
61241,61202.0,61274.0
61508,61409.0,61540.0
61689,61644.0,61733.0
62307,62260.0,62343.0
62520,62467.0,62543.0
