peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,annotation
66,0.0,89.0,1.3260918492154405,-0.13617969956417936,0.07149733925601692,-0.10269250930450084,1.2545945099594236,-0.20767703882019628,-6.041084354277764,0.05391582739786621,S
186,157.0,214.0,2.1855934415798717,-1.4384875456825927,-0.08799537920029142,-0.6581679457469326,2.273588820780163,-1.3504921664823013,-1.6835261078946506,-0.04026154980437868,N
290,265.0,304.0,2.199576214135925,-1.210440601996128,-2.015804751129575,-0.5503062790991463,4.2153809652655,0.8053641491334471,5.234130386609773,-0.9164514228580426,N
392,369.0,410.0,3.048829918358853,-1.255920964951213,-0.2642317336407381,-0.4119353977040673,3.313061651999591,-0.991689231310475,-3.3408264881746486,-0.08666660348930541,N
499,455.0,510.0,3.919978089614315,-4.45015040027219,2.6447169357187685,-1.135248794390593,1.2752611538955465,-7.094867335990958,-0.1797441859732008,0.6746764587092325,N
597,665.0,719.0,0.8212360391871621,-2.9821081671406606,0.7466836683350633,-3.631243667889043,0.07455237085209887,-3.728791835475724,-0.01999370684702955,0.9092193141865902,N
697,665.0,719.0,2.3789833363094637,-2.9821081671406606,0.7466836683350633,-1.2535220914017957,1.6322996679744004,-3.728791835475724,-0.4377556431133275,0.31386670807597994,N
796,773.0,808.0,1.1389410676255005,-0.4361231403287125,-8.30606881688125,-0.38291984785301975,9.445009884506751,7.869945676552538,1.2001366048366646,-7.292799472230814,N
895,949.0,1017.0,3.276097072674618,-0.11242313584464861,-11.084465112741096,-0.034316179695147414,14.360562185415715,10.972041976896447,1.3088322315622187,-3.383436103036989,N
995,1157.0,1217.0,6.345117835270981,2.2845394543167634,-5.993866559601475,0.3600468129397943,12.338984394872456,8.27840601391824,1.49050244384333,-0.9446422769775866,N
1064,1157.0,1217.0,6.906765443808209,2.2845394543167634,-5.993866559601475,0.33076835646196906,12.900632003409683,8.27840601391824,1.558347341471321,-0.8678254109490382,S
1188,1157.0,1217.0,9.540244795426517,2.2845394543167634,-5.993866559601475,0.23946339987124285,15.534111355027992,8.27840601391824,1.876461643571353,-0.6282717779395834,N
1289,1414.0,1472.0,1.4741903902035327,3.5518530998922753,-11.224667947116512,2.409358467871909,12.698858337320043,14.776521047008787,0.8593943254248384,-7.614123672022301,N
1398,1414.0,1472.0,7.740615436137664,3.5518530998922753,-11.224667947116512,0.4588592637363398,18.965283383254175,14.776521047008787,1.2834741900965463,-1.4501001941929939,N
1500,1485.0,1552.0,-7.021522039189547,-16.75134656702349,-1.2008629343563368,2.3857144467436577,-5.82065910483321,-15.550483632667152,0.3743072718719601,0.1710260151081069,N
1596,1612.0,1675.0,0.062204183800096416,-2.021711504662153,-9.461890883954924,-32.50121424564082,9.52409506775502,7.44017937929277,1.2800894416957374,-152.1102007280137,N
1696,1719.0,1753.0,-0.3848092782985241,-1.5502668776613964,7.434117551037233,4.028662937952196,-7.818926829335758,-8.984384428698629,0.8702796381196607,-19.318966486224003,N
1796,1850.0,1905.0,-0.5059820141153375,-9.235870648521812,-1.426652382859031,18.253357611277693,0.9206703687436935,-7.809218265662782,-0.11789533054696283,2.8195713346716484,N
1896,2068.0,2116.0,0.9534079622039963,-2.2215942842638388,-0.06495034093158346,-2.330161245064675,1.0183583031355796,-2.1566439433322553,-0.4721958421945639,-0.06812439533380606,N
1995,2068.0,2116.0,-0.3259603954382893,-2.2215942842638388,-0.06495034093158346,6.815534388086205,-0.26101005450670584,-2.1566439433322553,0.12102602996367412,0.19925838181736968,N
