peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,T1,T2,TP,ST,pi2pi_pr,pi2pi_po,area_peak,annotation
0.0,0.0,0.0,0.029724695791786156,0.9297760846528311,0.8245589769716267,0.6537263597235693,0.07929400339631376,0.30201989355717884,0.41368671741842583,0.29443251812318827,0.0166073546856465,0.15822784810126583,0.8727655099894848,0.48571428571428577,0.0,0.016886019369257512,0.0005199355481328547,N
0.000453651238162538,0.00044929116684841875,0.000453651238162538,0.030583454510758553,0.9298301076663812,0.8248027535782846,0.6537976142065454,0.07938271668586697,0.30183501265065077,0.41369019149161745,0.2944628189184369,0.0166073546856465,0.16455696202531644,0.8738170347003155,0.48275862068965514,0.025596849618508492,0.016886019369257512,0.0005782917141336375,N
0.000907302476325076,0.0009029443838604144,0.0009116645074612543,0.030297464808921957,0.9296821024496104,0.8245843704528337,0.6537603862328808,0.0794892845075169,0.3019579321757571,0.4136708152105707,0.29442316222836884,0.017793594306049824,0.17088607594936708,0.8738170347003155,0.48275862068965514,0.025596849618508492,0.01216786689843556,0.0005708073191402406,N
0.0012780751229002274,0.0012998909487459106,0.001291161216308762,0.02502318130013906,0.9332546406564126,0.8235802770323664,0.653762386874939,0.078455215064156,0.3043463886474247,0.41355438706050274,0.2942843573143926,0.020166073546856466,0.14556962025316456,0.8675078864353313,0.5043478260869565,0.02092050209205021,0.022100819468587038,0.0003088791666249314,V
0.0018233290149225086,0.0018015267175572518,0.001954189949007856,0.03027017346409892,0.9290193562783483,0.8227934819712432,0.6536843555299294,0.08125547581279273,0.3032021683407493,0.4133171169506108,0.29403168572457605,0.05219454329774614,0.379746835443038,0.8780231335436383,0.4727272727272728,0.030765444253015015,0.017382666997765087,0.0009332509577571743,N
0.002285704315357403,0.0023336968375136315,0.0023293246267191855,0.02075645565119128,0.9351228042298597,0.8179226001442118,0.6533988776375832,0.08242568602340362,0.3099755770397104,0.4154435143509345,0.29049035129324496,0.028469750889679714,0.1518987341772152,0.861198738170347,0.5411764705882353,0.02608909672655673,0.015147752669481004,0.0001824879686975352,N
0.002708821335566693,0.0027437295528898583,0.002721907428975228,0.02341953871581074,0.9347855886350263,0.8222457226728246,0.6538623517864599,0.0791619108276172,0.3061416280900757,0.4124584209161617,0.29375183456899495,0.020166073546856466,0.12658227848101267,0.8643533123028391,0.52,0.02387398474033965,0.016886019369257512,0.0004935225562651414,N
0.003162472573729231,0.0031624863685932388,0.003158110542593053,0.029287418994201786,0.9290056556691755,0.8246712359446955,0.6535971077122199,0.07901431506982323,0.3015938061384523,0.41374119583197255,0.29447126737775947,0.01542111506524318,0.1518987341772152,0.8727655099894848,0.48571428571428577,0.025596849618508492,0.0072013906133598215,0.0005056183894536332,N
0.0034460045975808176,0.0034940021810250816,0.003472176784397887,0.022997859423822403,0.9363901852369225,0.8227554191117922,0.6541810532033504,0.07849393843778847,0.30639454401176164,0.4124215059732699,0.29396743220543947,0.02372479240806643,0.12658227848101267,0.861198738170347,0.5411764705882353,0.01599803101156781,0.025329029053886266,0.00018884999510245676,V
0.004047964894373416,0.004008724100327154,0.004065413018918129,0.033166057066371005,0.9302608036068892,0.825036903268907,0.6539924036459142,0.08014453193060825,0.3018198280361527,0.41361451673782373,0.29444484801941806,0.021352313167259787,0.24050632911392406,0.882229232386961,0.4648648648648649,0.03396505045532858,0.016886019369257512,0.0008713253744480278,N
0.004501616132535954,0.0045059978189749186,0.004505978163672132,0.029688906571404636,0.93106482409314,0.8240584028104471,0.6538736340639968,0.07977683453519491,0.30299957291543167,0.4135412293424102,0.29431904699872946,0.017793594306049824,0.15822784810126583,0.8717139852786541,0.48888888888888893,0.025596849618508492,0.0171343431835113,0.0005009636896227638,N
0.004959629401834671,0.0049552889858233366,0.004959629401834671,0.030116811589961746,0.9291665933514895,0.8247363559124968,0.6536884298121954,0.07926896545136426,0.3016072266719095,0.41371577896289147,0.2944614583356751,0.0166073546856465,0.16455696202531644,0.8738170347003155,0.48275862068965514,0.02584297317253261,0.010677924012912838,0.0005618948396189557,N
0.005304229861592752,0.005330425299890949,0.005317315955001287,0.024339673972803413,0.9342786226019272,0.8233312671380141,0.6538728044324198,0.07843915230779491,0.30499787906391834,0.41341761033008156,0.2942069892626796,0.020166073546856466,0.13924050632911392,0.8664563617245006,0.509090909090909,0.01944376076790549,0.02185249565433325,0.00026351654128240463,S
0.005845121722478855,0.005823336968375136,0.005853845784751212,0.03262728128819096,0.9302073189954934,0.8251775354317412,0.6539603817000442,0.07979762572138373,0.30167688255427294,0.4136597204136233,0.29448355166005835,0.018979833926453145,0.20253164556962025,0.8780231335436383,0.4727272727272728,0.030519320698990892,0.016637695555003724,0.0007839043754028523,N
