peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,annotation
122,0.0,151.0,1.601981685677651,0.00985820836126864,-0.004293820482686795,0.006153758466407523,1.6062755061603378,0.014152028843955436,113.50142964458446,-0.002680318084204861,N
248,218.0,277.0,1.3922169599248255,-1.1607374082447945,-0.0746539546771854,-0.833733133309531,1.466870914602011,-1.0860834535676092,-1.3506060789192362,-0.053622356878353525,N
372,342.0,400.0,1.3868940256020517,-1.093192413913933,-0.05867920662761616,-0.7882306749712744,1.4455732322296677,-1.034513207286317,-1.3973463287352539,-0.042309798401607125,N
496,466.0,524.0,1.3994384174134582,-1.0938607131234739,-0.052713467561996276,-0.7816426214346932,1.4521518849754544,-1.0411472455614776,-1.3947612992937681,-0.03766758644472907,N
620,590.0,648.0,1.40499043069864,-1.092476681716241,-0.04203017315851103,-0.7775687704669991,1.4470206038571511,-1.05044650855773,-1.3775290717505646,-0.02991491773905625,N
746,716.0,775.0,1.4256225150432171,-1.1107475985611932,-0.058833012116617504,-0.7791316332623446,1.4844555271598345,-1.0519145864445758,-1.41119397552726,-0.04126829612734757,N
870,841.0,898.0,1.3803824112694016,-1.1002856815336546,-0.0652539696729766,-0.797087584245463,1.4456363809423782,-1.035031711860678,-1.3967073321295207,-0.04727238563766468,N
992,963.0,1020.0,1.372111019680254,-1.0786593620806413,-0.05245922758144746,-0.7861312580464543,1.4245702472617015,-1.0262001344991938,-1.3881992404502268,-0.038232494914057426,N
1114,1085.0,1142.0,1.3816084853140942,-1.0754184152099064,-0.04597945986949179,-0.778381449333254,1.427587945183586,-1.0294389553404146,-1.386763088551969,-0.03327965943914918,N
1238,1208.0,1266.0,1.4045347825806753,-1.0935052531330758,-0.05095507299057233,-0.7785533449900631,1.4554898555712477,-1.0425501801425034,-1.3960861388679637,-0.036278968397598595,N
1362,1332.0,1390.0,1.4033913974772654,-1.0939946763299253,-0.043396498600884015,-0.7795363989664528,1.4467878960781495,-1.0505981777290412,-1.3771087050669617,-0.030922591287714535,N
1488,1458.0,1517.0,1.4317967997060452,-1.1086132358027945,-0.04783028242831751,-0.7742811242701465,1.4796270821343627,-1.060782953374477,-1.3948443245882605,-0.033405775483041515,N
1614,1584.0,1643.0,1.4104592098437272,-1.114404368245334,-0.0664976789038153,-0.7901003874963567,1.4769568887475426,-1.0479066893415188,-1.4094355000974652,-0.047146119816668046,N
1738,1708.0,1766.0,1.3851260795069154,-1.0945441269257743,-0.05996705736735032,-0.7902126334343629,1.4450931368742657,-1.034577069558424,-1.3967960236070738,-0.04329357323825548,N
1862,1832.0,1890.0,1.4002916325120136,-1.0935188380639935,-0.05172677498814143,-0.7809222112555985,1.452018407500155,-1.0417920630758521,-1.3937698884104808,-0.03694000148765272,N
1986,1956.0,2014.0,1.3986883185044654,-1.0946862465001312,-0.052990793343513275,-0.7826520262002434,1.4516791118479786,-1.041695453156618,-1.393573435929858,-0.03788606270778982,N
2110,2080.0,2138.0,1.3979108911588884,-1.0953565853155527,-0.053737695666646955,-0.783566815483844,1.4516485868255353,-1.0416188896489058,-1.3936465642581006,-0.03844143142922195,N
2234,2204.0,2262.0,1.4050852145505506,-1.092512835755954,-0.04193630523904805,-0.7775420482987715,1.4470215197895986,-1.050576530516906,-1.3773594571712289,-0.02984609389150989,N
2360,2330.0,2389.0,1.425418034311097,-1.110868073882844,-0.05901057121680636,-0.7793279214540915,1.4844286055279032,-1.0518575026660377,-1.4112449659440285,-0.04139878253001486,N
2484,2455.0,2512.0,1.38241035807675,-1.0993460289365133,-0.06220781552204327,-0.7952385646661068,1.4446181735987933,-1.03713821341447,-1.3928887730814743,-0.04499952937895273,N
2608,2578.0,2636.0,1.4100976463185737,-1.089589846230323,-0.03616631790841992,-0.7727052442609067,1.4462639642269937,-1.0534235283219031,-1.37291784865569,-0.02564809465702002,N
2736,2705.0,2765.0,1.4477554667594033,-1.1252678105586882,-0.06366310414793205,-0.7772499129825023,1.5114185709073353,-1.061604706410756,-1.4237112569116073,-0.04397365826594525,N
2860,2831.0,2888.0,1.374923003772414,-1.1011080432720126,-0.06587113213262931,-0.800850695094105,1.4407941359050433,-1.0352369111393833,-1.3917530571039078,-0.04790896068499609,N
2984,2954.0,3012.0,1.4103453266049095,-1.0890409751672032,-0.03637377351294146,-0.772180369320488,1.446719100117851,-1.0526672016542618,-1.3743366354003796,-0.025790686030422897,N
3112,3081.0,3141.0,1.4540587620384935,-1.1230496721464165,-0.05262449372826255,-0.7723550804590426,1.506683255766756,-1.070425178418154,-1.4075558816668463,-0.03619144913681928,N
3238,3208.0,3267.0,1.4023040711313288,-1.1172310872066513,-0.07059525461650784,-0.7967110059841082,1.4728993257478367,-1.0466358325901435,-1.40727011237787,-0.05034233021911868,N
3362,3332.0,3390.0,1.3924815999895572,-1.0912048058545933,-0.04839621305507613,-0.7836403769089493,1.4408778130446334,-1.0428085927995172,-1.3817279824828275,-0.03475536987737509,N
3488,3458.0,3517.0,1.4268640347320585,-1.1095465894325602,-0.057951189003737365,-0.7776119955542329,1.4848152237357959,-1.0515954004288228,-1.4119643573282208,-0.040614373614525676,N
3612,3582.0,3640.0,1.3834109446000482,-1.0957592196179158,-0.06128697751595167,-0.7920706597667593,1.444697922116,-1.034472242101964,-1.3965555220510222,-0.044301353661525406,N
3736,3706.0,3764.0,1.4003458790613525,-1.0936846279301002,-0.05158832896899505,-0.781010352001888,1.4519342080303477,-1.0420962989611051,-1.3932821846482148,-0.03683970491888371,N
3860,3830.0,3888.0,1.3989155295938394,-1.0944617956864702,-0.05288450151980187,-0.782364461994525,1.4518000311136412,-1.0415772941666683,-1.3938476186495392,-0.037803927686152955,N
3984,3954.0,4012.0,1.3953720043027689,-1.0967034206988528,-0.057036116121726745,-0.785957735512149,1.4524081204244956,-1.039667304577126,-1.3969931669778224,-0.04087520456613017,N
4106,4077.0,4134.0,1.3730379180940981,-1.078379499100667,-0.05048006393182518,-0.7853967358727836,1.4235179820259234,-1.0278994351688417,-1.3848805956315149,-0.03676523660897589,N
