peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,T1,T2,pi2pi_pr,pi2pi_po,annotation
7530,7477.0,7565.0,1.383848001950781,-1.1912628926934474,0.33051641969616036,-0.8608336255240095,1.0533315822546208,-1.5217793123896077,-0.6921710485080806,0.23883867247720733,0.2734375,0.6875,0.8480000000000025,0.7519999999999989,N
7718,7671.0,7750.0,1.3747842747028733,-1.1630290724140437,0.39547733212968333,-0.8459720508989708,0.97930694257319,-1.5585064045437271,-0.6283624755843686,0.2876650099995916,0.25,0.6171875,0.7519999999999989,0.7119999999999997,N
7896,7851.0,7927.0,1.379475096338962,-1.178686367573798,0.4578569007785933,-0.8544455573732035,0.9216181955603686,-1.6365432683523913,-0.5631492997360334,0.33190660853082166,0.2421875,0.59375,0.7119999999999997,0.7600000000000016,N
8086,8038.0,8118.0,1.429284279436176,-1.2086195865081677,0.44462149280541924,-0.8456117540066584,0.9846627866307567,-1.653241079313587,-0.5955954028432328,0.31107981750195524,0.25,0.625,0.7600000000000016,0.7439999999999998,N
8272,8225.0,8304.0,1.3913807674331753,-1.2135251216357594,0.44600804904788405,-0.8721732756695174,0.9453727183852912,-1.6595331706836434,-0.5696618392965569,0.3205506784966429,0.25,0.6171875,0.7439999999999998,0.7879999999999967,N
8469,8419.0,8501.0,1.4204031704543054,-1.2036479773509785,0.3869830234513943,-0.8473988247759265,1.0334201470029112,-1.5906310008023727,-0.6496919439402451,0.2724459023332232,0.25,0.640625,0.7879999999999967,0.6880000000000024,N
8641,8597.0,8670.0,1.3462977406633214,-1.1486031457140502,0.4541691984819383,-0.8531568545514553,0.8921285421813832,-1.6027723441959885,-0.556615882107018,0.3373467731277399,0.2265625,0.5703125,0.6880000000000024,0.7199999999999989,N
8821,8775.0,8851.0,1.4154783594773679,-1.1824264000043796,0.4612470952273625,-0.8353546291170165,0.9542312642500054,-1.643673495231742,-0.5805479415578627,0.32585951748331016,0.234375,0.59375,0.7199999999999989,0.6920000000000002,N
8994,8950.0,9024.0,1.3689576021216725,-1.1762702953806272,0.45004230254875566,-0.8592452341530448,0.9189152995729168,-1.6263125979293829,-0.5650299338164615,0.32874816710996724,0.234375,0.578125,0.6920000000000002,0.6920000000000002,N
9167,9123.0,9196.0,1.3788246322816353,-1.1656503635451496,0.46223871405690486,-0.8453942120371525,0.9165859182247305,-1.6278890776020545,-0.5630518263412013,0.3352411200342475,0.2265625,0.5703125,0.6920000000000002,0.6720000000000041,N
9335,9292.0,9364.0,1.357194208553271,-1.1541944196969371,0.4338840322346278,-0.8504268677415551,0.9233101763186433,-1.588078451931565,-0.5814008591298684,0.31969192728661533,0.2265625,0.5625,0.6720000000000041,0.6479999999999961,N
9497,9455.0,9525.0,1.3382018784650813,-1.1341961349082672,0.44181280921685373,-0.8475523410632118,0.8963890692482276,-1.576008944125121,-0.5687715622361736,0.3301540793857003,0.21875,0.546875,0.6479999999999961,0.6480000000000032,N
9659,9617.0,9687.0,1.356865546672733,-1.1394935475630965,0.4615537837250617,-0.8397984239170417,0.8953117629476715,-1.6010473312881581,-0.5592038070650469,0.340161768317333,0.21875,0.546875,0.6480000000000032,0.6559999999999988,N
9823,9780.0,9851.0,1.374682345860682,-1.1541561274853096,0.5145396123226975,-0.8395802353617177,0.8601427335379845,-1.6686957398080071,-0.5154580988125186,0.37429709770554065,0.21875,0.5546875,0.6559999999999988,0.7040000000000006,N
9999,9953.0,10029.0,1.4156231927198706,-1.1881641216611631,0.4751687101477976,-0.8393223053786757,0.940454482572073,-1.6633328318089609,-0.5654036670155064,0.33566044452467936,0.234375,0.59375,0.7040000000000006,0.7079999999999984,N
10176,10131.0,10207.0,1.393766197799512,-1.1881908638003342,0.4309770765232041,-0.8525037166751916,0.9627891212763078,-1.6191679403235384,-0.594619679218652,0.3092176271770931,0.2421875,0.59375,0.7079999999999984,0.6799999999999997,N
10346,10303.0,10375.0,1.2763951916155964,-1.2002302980809811,0.38834447607355144,-0.9403281256189867,0.888050715542045,-1.5885747741545326,-0.5590235536848941,0.3042509707216968,0.2265625,0.5625,0.6799999999999997,0.6920000000000002,N
10519,10611.0,10695.0,0.37055702629957615,-2.4369526766051717,1.6709550530029573,-6.576457882720113,-1.3003980267033812,-4.107907729608129,0.3165596971252886,4.509306083571809,1.375,0.65625,0.6920000000000002,0.6640000000000015,N
10685,10788.0,10857.0,2.6875880505940546,-2.2924610359897386,1.503155842437858,-0.8529808113572396,1.1844322081561967,-3.7956168784275963,-0.3120526244068314,0.559295477633042,1.34375,0.5390625,0.6640000000000015,0.7119999999999962,N
10863,10883.0,10941.0,1.7291339496216112,0.1816242441862451,-2.963592263927986,0.10503769486799458,4.692726213549597,3.145216508114231,1.4920200887420632,-1.7139171112663152,0.609375,0.453125,0.7119999999999962,0.7199999999999989,N
11043,10987.0,11058.0,2.1539906569948917,-2.13166056650401,-0.14999793670369752,-0.9896331535058582,2.3039885936985893,-1.9816626298003126,-1.1626543080800573,-0.06963722717022595,0.1171875,0.5546875,0.7199999999999989,0.7000000000000028,N
11218,11281.0,11353.0,-0.31164319402133317,-3.547036398729694,2.0091113465518236,11.381722645567821,-2.320754540573157,-5.556147745281518,0.41769129385445625,-6.446832098679788,1.0546875,0.5625,0.7000000000000028,0.6880000000000024,N
11390,11425.0,11487.0,2.560888898408915,-3.3576194106075516,-0.3558350137410938,-1.311114829188274,2.916723912150009,-3.0017843968664577,-0.9716633596985704,-0.13894980526573203,0.7578125,0.484375,0.6880000000000024,0.7119999999999962,N
11568,11551.0,11640.0,0.326987621387636,-1.622586935518775,-0.10719361191625279,-4.962227403695008,0.4341812333038888,-1.515393323602522,-0.2865138882040975,-0.3278216204679422,0.5625,0.6953125,0.7119999999999962,0.6640000000000015,N
11734,11668.0,11764.0,1.7341703498670158,-3.9567536941119683,0.6343877343003659,-2.281640724866153,1.09978261556665,-4.591141428412334,-0.23954448642349196,0.3658162730950934,0.234375,0.75,0.6640000000000015,0.7079999999999984,N
11911,11866.0,11941.0,1.3516942230588878,-1.2345799098176675,0.4212829134539187,-0.913357391602821,0.9304113096049691,-1.6558628232715862,-0.561889123017268,0.3116702773949528,0.234375,0.5859375,0.7079999999999984,0.7240000000000038,N
12092,12122.0,12196.0,1.4553973566658993,-1.7850401619151803,-1.5982574843981947,-1.226496773365347,3.053654841064094,-0.18678267751698563,-16.348704717472533,-1.098158847876134,0.8125,0.578125,0.7240000000000038,0.6920000000000002,N
