asp,adp,adn,rp,d1,d2,rd,rn,T1,T2,TP,ST,pi2pi_pr,pi2pi_po,area_peak,annotation
0.07025246673895154,0.6378761928348546,0.9452464332559225,0.46673406507231774,0.03525716035376106,0.11526558931602897,0.2007553490249335,0.40318835994818003,0.27287066246057057,0.27027027027037037,0.6689497716894941,0.9317565902928803,0.0,0.27895448400180267,0.07922653822753754,N
0.07310955974222949,0.7350250262407683,0.9081642143799256,0.5046233909830278,0.0693984234718874,0.17809602925496743,0.19542130554623707,0.38427186247942297,0.03312302839116862,0.28828828828838854,0.9033485540334805,0.9696969696968449,0.2837958818263207,0.021631365479945663,0.0009479555810499469,N
0.07356319551665344,0.7370603460746148,0.9084979382685273,0.5054554604268181,0.06925763796324318,0.17851710294503267,0.19525064995624658,0.38443344591387874,0.03233438485804602,0.2747747747748753,0.9018264840182596,0.9707070707069506,0.02820053715308863,0.021631365479945715,0.0009591632056009953,N
0.07399283743611397,0.7370658602258338,0.9086028905519924,0.5055659451825147,0.06931302630143481,0.17843437146991284,0.19527599384038116,0.38448574206596403,0.03233438485804567,0.27927927927937973,0.9025875190258702,0.9701937406854215,0.02820053715308868,0.02174402884182042,0.0009779009108594645,N
0.07389096508433787,0.7368496805251731,0.9084350662796394,0.5054661201857925,0.06942767116763161,0.1784963562622543,0.19520321772030816,0.3844075194842303,0.03312302839116862,0.28378378378388414,0.9025875190258702,0.9701937406854215,0.028312444046553302,0.021293375394321544,0.0009722190040633259,N
0.07354261319458426,0.7372754868606697,0.9086324500412254,0.5055248451757667,0.06913024544043704,0.17848161880478342,0.19531360219413849,0.3844958826807803,0.03154574132492272,0.26576576576586647,0.9010654490106497,0.9712378017461585,0.027864816472694752,0.02174402884182042,0.0009514087990703766,N
0.07421273237543817,0.7368943869046155,0.9085252369644898,0.5055621156899869,0.06945880990565236,0.17843882842144004,0.19522369002177142,0.38445196881451854,0.03312302839116862,0.28378378378388414,0.9025875190258702,0.9701937406854215,0.028312444046553302,0.02140603875619625,0.000986880730596289,N
0.07348355261477764,0.7370781325552948,0.9084812884913994,0.5054412329751791,0.06924486287801748,0.17853655477418398,0.19524453437148795,0.3844249257884892,0.03233438485804532,0.2702702702703689,0.9010654490106497,0.9712378017461585,0.02797672336615938,0.021293375394321495,0.0009476116116037635,N
0.07368208498089697,0.7372236829286989,0.908606652087016,0.5055422246666469,0.06920174371405104,0.17848484991509056,0.19528726775345642,0.38448499573798417,0.03154574132492272,0.2702702702703689,0.9018264840182596,0.9707070707069506,0.027864816472694703,0.021293375394321495,0.000953029499638456,N
0.07391793872613525,0.7371567554434816,0.9085576559764881,0.5055784195242403,0.06932745171458651,0.1785016531299841,0.19523490369550475,0.3844642956990373,0.03233438485804602,0.2747747747748753,0.9018264840182596,0.9707070707069506,0.027864816472694703,0.02095538530869743,0.0009636465684233839,N
0.07172769352731424,0.7366584415402121,0.9070827065673526,0.5048148331058626,0.06988531643032654,0.17952164051589825,0.1943902115713589,0.3837220523101628,0.029968454258676832,0.2522522522523512,0.9003044140030391,0.9717868338556841,0.027529095792300878,0.021180712032446838,0.001011335058931569,N
0.04487553208361569,0.7364154593853455,0.8987496785329507,0.47133650391956644,0.06800910465331388,0.1861564338838656,0.162413850743023,0.36273254791269943,0.014195583596215821,0.09459459459467871,0.8888888888888842,0.9830866807610348,0.02775290957923013,0.02140603875619625,0.001763394826175822,N
0.025644019742656014,0.7267624606133234,0.9089460969839238,0.5581505009735936,0.052215347574322356,0.17466429624920504,0.2007585705208737,0.385248740078283,0.22160883280757326,0.369369369369478,0.7351598173515943,0.9275776634264059,0.02797672336615938,0.10477692654348783,0.004827201711482409,N
0.06972282426891993,0.7296358314850344,0.9135259869558923,0.5014849450412913,0.0634291895004701,0.17194671972523556,0.19840779556924892,0.3870049464630661,0.022082018927446677,0.23423423423433357,0.9048706240487013,0.968749999999871,0.11078782452999106,0.02151870211807101,0.0013976648815536064,N
0.058405623146555584,0.7180744841501331,0.9094221122161384,0.4876874202571623,0.06316747295829292,0.17133488244321515,0.19851512512181765,0.38492038976142345,0.01656151419558501,0.17117117117126376,0.8995433789954291,0.9723551302497542,0.02808863025962405,0.022420009013068756,0.0005001290880024265,N
0.07495875409705645,0.7619393864214999,0.9173616442479127,0.5141123178584619,0.06181873324974747,0.1798075148417287,0.19745414047641957,0.38842049492024094,0.013406940063092525,0.1171171171172028,0.8934550989345464,0.9777365491650316,0.028983885407341155,0.016448850833708586,0.0010241615142353982,N
0.07465947702718424,0.7303048748202668,0.8898101403476123,0.503452624039793,0.08634400822620743,0.19129068931876222,0.22173457111129724,0.37599816360775123,0.03075709779179943,0.42342342342353495,0.9284627092846218,0.959170653907324,0.023052820053715273,0.01971608832807551,0.002018043820039125,N
0.038701258773667514,0.7549803448978287,0.9031178873448348,0.4554707996014462,0.06195997722365144,0.18892977886354034,0.2100842693793187,0.3319729298034965,0.23501577287066508,0.23423423423433357,0.6993911719939083,0.9302736098849583,0.02629811996418985,0.02208201892744459,0.0,N
