peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,annotation
185,0.0,236.0,1.6073452352942001,0.09337829981191603,-0.04184347452974023,0.0580947376839205,1.6491887098239404,0.13522177434165628,12.196177116098477,-0.026032661565753432,N
372,330.0,405.0,1.5638373805956753,-1.3159086759999095,0.2645872725444704,-0.8414613260482824,1.2992501080512049,-1.58049594854438,-0.8220521597969299,0.16919103982773928,N
560,516.0,580.0,2.5366974816290733,-1.8118082138335525,2.709970362074442,-0.7142389768408667,-0.17327288044536893,-4.5217785759079945,0.03831962966266541,1.0683064818332586,N
743,700.0,762.0,3.305104584832081,-3.0074789230254297,0.11099180174378923,-0.9099496992704779,3.1941127830882916,-3.118470724769219,-1.0242561386638223,0.03358193330799796,N
934,945.0,988.0,1.4754262342910203,-0.06998454903081368,-0.6795029904915106,-0.047433444928843244,2.154929224782531,0.609518441460697,3.535461896145902,-0.4605469082078706,N
1125,1083.0,1174.0,1.5255920212003202,-1.353786714379983,0.015085685393040633,-0.887384500945959,1.5105063358072797,-1.3688723997730237,-1.103467595707051,0.009888413929414346,N
1315,1273.0,1365.0,1.5261619035945042,-1.33115189801828,-0.00214405717120581,-0.8722219411211055,1.5283059607657101,-1.329007840847074,-1.1499600783330284,-0.001404868753541812,N
1505,1463.0,1554.0,1.5179893588812385,-1.3269987622395174,0.019922385571697437,-0.8741818606801818,1.498066973309541,-1.3469211478112149,-1.1122157935852017,0.013124193167190762,N
1699,1656.0,1749.0,1.538754561484425,-1.3399341671497016,-0.012413113141321302,-0.8707913534027657,1.5511676746257461,-1.3275210540083804,-1.1684693586908295,-0.00806698706345115,N
1889,1847.0,1938.0,1.5142941148118068,-1.3320897518449564,0.009152031567898448,-0.8796770315722356,1.5051420832439084,-1.3412417834128547,-1.122200412974014,0.006043760903763298,N
2084,2041.0,2136.0,1.5385638858800255,-1.330264015209277,-0.04511575511573984,-0.8646140907229176,1.5836796409957654,-1.2851482600935373,-1.2322933393540914,-0.02932329006925481,N
2281,2237.0,2294.0,3.6890943226748334,-1.4742380823047616,1.6876661773218913,-0.3996205988129474,2.001428145352942,-3.161904259626653,-0.6329818935090918,0.45747439065158507,N
2474,2561.0,2614.0,3.1435194639084414,-3.0736770382848144,-0.9190808773281017,-0.977782092197772,4.062600341236543,-2.1545961609567126,-1.8855507193666459,-0.29237321030784336,N
2664,2802.0,2837.0,1.450502147135685,-3.0701518188230934,0.4759832864990781,-2.116613081122107,0.9745188606366069,-3.5461351053221715,-0.27481154318514617,0.32815069418477255,N
2851,2920.0,2985.0,1.7742548789157944,-4.051491560291196,-2.5126992913502386,-2.2834890344317205,4.286954170266033,-1.5387922689409574,-2.78592130776459,-1.4161997361313108,N
