peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,annotation
194,0.0,220.0,1.6728011607189655,0.08391900752608401,0.2347867381327949,0.050166755916175865,1.4380144225861706,-0.15086773060671088,-9.53162360700483,0.14035543712313314,N
389,344.0,416.0,1.6380859982864775,-1.3436026149943956,0.22903105605903865,-0.8202271531530538,1.4090549422274388,-1.5726336710534343,-0.8959842130835074,0.13981625891352284,N
584,539.0,611.0,1.6343021313408048,-1.3399615316646545,0.22754599273949944,-0.8198982954059608,1.4067561386013054,-1.5675075244041539,-0.8974477740615926,0.13923128923096822,N
782,737.0,809.0,1.6471037388911982,-1.3425741198582046,0.25081326073455834,-0.8151120589174319,1.3962904781566399,-1.593387380592763,-0.876303211110659,0.15227532717726783,N
981,935.0,1008.0,1.6410978743880642,-1.3470575949025902,0.23210394941830156,-0.8208270913792292,1.4089939249697627,-1.5791615443208917,-0.892241791244791,0.14143211873018174,N
1178,1133.0,1205.0,1.6352554731876954,-1.3425218447421525,0.26071175150458825,-0.8209859968394414,1.3745437216831071,-1.6032335962467408,-0.8573571093451327,0.15943181709483484,N
1375,1330.0,1408.0,1.6236029459045505,-1.3318239542465313,-0.12177744818662076,-0.8202891954624647,1.7453803940911712,-1.2100465060599106,-1.442407697018511,-0.07500445136158301,N
1573,1530.0,1603.0,2.4745680008009225,-2.1944284851737246,-0.32138710413716587,-0.8867925571103612,2.7959551049380886,-1.8730413810365587,-1.4927353625208113,-0.12987604464017363,N
1768,1727.0,1811.0,1.837414287124021,-2.061217549958942,-0.15411822414174617,-1.1218033757564958,1.9915325112657674,-1.9070993258171958,-1.0442730928093595,-0.08387777608008963,N
1963,1918.0,1990.0,1.6283906694040868,-1.3551868147184762,0.22563976354305457,-0.8322246253194326,1.4027509058610323,-1.5808265782615307,-0.8873528096950823,0.13856611179529046,N
2161,2116.0,2188.0,1.650090015168872,-1.3375106592390618,0.24644384704163846,-0.8105683004827948,1.4036461681272336,-1.5839545062807003,-0.886165709028569,0.14935175946532658,N
2353,2309.0,2395.0,1.6140989838883089,-1.3398914350131892,-0.2104509819256301,-0.8301172656620085,1.824549965813939,-1.129440453087559,-1.6154459146793922,-0.1303829467872292,N
2551,2506.0,2594.0,1.6614856560180127,-1.326430492323588,-0.2378662601877605,-0.7983400202819492,1.8993519162057733,-1.0885642321358273,-1.7448230064285069,-0.14316479912191413,N
2747,2784.0,2877.0,1.6431932717496902,0.28955312294096347,-7.516574157186233,0.17621367365546972,9.159767428935924,7.806127280127197,1.1734073888667966,-4.574370091707169,N
2948,2973.0,3044.0,5.862631028944293,1.819866244545297,-5.116622257931097,0.31041800781261303,10.979253286875391,6.9364885024763945,1.5828258466738163,-0.872751880967762,N
3141,3295.0,3382.0,4.253045611843675,-1.3550793079728283,-0.28373212852083246,-0.31861386677802594,4.536777740364507,-1.0713471794519958,-4.234647579587704,-0.06671269354147273,N
3340,3295.0,3382.0,1.571029067280625,-1.3550793079728283,-0.28373212852083246,-0.8625424800818006,1.8547611958014576,-1.0713471794519958,-1.7312419646731003,-0.1806027236733175,N
3538,3493.0,3581.0,1.6424856462527373,-1.3385244407692864,-0.24059143855485735,-0.8149382880898073,1.8830770848075946,-1.0979330022144291,-1.7151111051490415,-0.1464800859013634,N
3733,3688.0,3775.0,1.625515801388149,-1.3413970381656444,-0.22130077553218375,-0.8252131643507405,1.8468165769203329,-1.1200962626334605,-1.6488016597593842,-0.13614187899200889,N
3930,3885.0,3973.0,1.6563840572199058,-1.3309993570680416,-0.23448914608590948,-0.8035572132359246,1.8908732033058153,-1.096510210982132,-1.724446507080113,-0.1415668938998838,N
4125,4162.0,4237.0,1.5625641410882503,0.15215811516014005,-1.8573441837183924,0.09737719633970948,3.4199083248066424,2.0095022988785325,1.7018683316337744,-1.188651483083979,N
4325,4269.0,4342.0,1.4340190373159796,-4.134260081131644,1.429932991068681,-2.882988282268305,0.004086046247298469,-5.564193072200325,-0.0007343465969419836,0.9971506331917698,N
4516,4439.0,4541.0,3.1531652925283282,-2.692499528014692,-2.040668247482283,-0.8539037057127263,5.193833540010611,-0.6518312805324094,-7.96806427541854,-0.6471808668951817,N
4713,4857.0,4956.0,2.698415242507593,-0.5896559384477094,-4.410974270478427,-0.2185193476374495,7.10938951298602,3.8213183320307174,1.8604546638772077,-1.634653629653893,N
4909,5008.0,5063.0,3.9066220515843413,0.24120624011247885,-2.8334918491762098,0.06174291675199473,6.7401139007605515,3.0746980892886886,2.1921221872941135,-0.7253048315813093,N
5108,5148.0,5229.0,1.4810722755051213,-0.22031192151628107,-0.7541427180535928,-0.14875163431247368,2.235214993558714,0.5338307965373117,4.187122601501102,-0.5091869792758031,N
5305,5259.0,5332.0,1.6423170966296905,-1.333057467010102,0.22993188503255615,-0.8116931071020079,1.4123852115971343,-1.5629893520426583,-0.9036435275463005,0.14000456154564478,N
5502,5457.0,5529.0,1.636959879287276,-1.3407728732142485,0.25958625153433074,-0.8190627578471955,1.3773736277529451,-1.6003591247485793,-0.8606653384560382,0.15857826133610145,N
5698,5653.0,5724.0,1.6319095371899457,-1.3411650430604465,0.2713303095287564,-0.8218378607982496,1.3605792276611892,-1.612495352589203,-0.8437724955154078,0.16626553331869828,N
5890,5846.0,5917.0,1.6248561919573699,-1.3338500147852699,0.24973496170986412,-0.8209034260308651,1.3751212302475058,-1.583584976495134,-0.8683596085200239,0.1536966550923026,N
6083,6039.0,6110.0,1.6337675470716009,-1.3315657186562653,0.25283392517801356,-0.8150276464011,1.3809336218935873,-1.584399643834279,-0.8715816285793275,0.15475513981851236,N
6276,6232.0,6302.0,1.6305876983647276,-1.3311307060902118,0.26851236790283234,-0.8163502689399453,1.3620753304618953,-1.599643073993044,-0.8514870302047257,0.16467214132187807,N
6468,6424.0,6510.0,1.6259260791912518,-1.3373541474394872,-0.22078488361779788,-0.8225184186139001,1.8467109628090497,-1.1165692638216893,-1.6539152765931415,-0.13579023452752415,N
6664,6619.0,6710.0,1.803521006318782,-1.232118780978971,-0.24687295562974218,-0.6831740670954999,2.050393961948524,-0.9852458253492289,-2.081098857964452,-0.13688388145455627,N
6860,6800.0,6899.0,4.9832756162580765,-3.48941020610335,-3.431926535500908,-0.7002242048822367,8.415202151758985,-0.05748367060244197,-146.39291582402006,-0.6886888865436523,N
7051,7025.0,7085.0,7.225252585472629,0.1875919274960833,-3.3467646066404475,0.025963372944672256,10.572017192113076,3.534356534136531,2.9912141262499703,-0.46320382118814524,N
7239,7185.0,7269.0,4.623076045526889,-0.2418628658646624,-3.506644493258267,-0.052316436823201216,8.129720538785156,3.264781627393605,2.4901268956464357,-0.7585089361986943,N
7435,7586.0,7633.0,1.6101250848421085,0.7612699424651872,0.47989580836495455,0.4728017404559836,1.130229276477154,0.28137413410023265,4.0168200964575425,0.29804877452239303,N
7623,7676.0,7758.0,3.199719499194035,-9.474126127774994,-1.0838326629108843,-2.9609239591662315,4.283552162104919,-8.39029346486411,-0.5105366314114135,-0.3387273988185173,N
7813,7790.0,7836.0,4.121959629278593,0.4451378528572928,-0.1000716140450494,0.10799180314514599,4.222031243323642,0.5452094669023422,7.743870016255407,-0.024277679318893155,N
8002,7962.0,8010.0,3.001535310479799,-2.634023380475157,1.6789836182788216,-0.8775586851430729,1.3225516922009772,-4.313006998753979,-0.30664260284832845,0.5593749346931501,N
8192,8308.0,8377.0,2.710406559889571,-3.8786064199455788,3.6522919879854934,-1.4310053987264564,-0.9418854280959224,-7.530898407931073,0.1250694641032453,1.347507064819935,N
8381,8458.0,8537.0,4.084778081683042,-7.577514506131698,0.8503579185479714,-1.8550614879449099,3.2344201631350704,-8.42787242467967,-0.3837765927333678,0.20817726239796125,N
8569,8634.0,8727.0,-0.37094004767403366,-4.230622719104034,-3.7348128500247584,11.405138770084285,3.3638728023507247,-0.49580986907927604,-6.784602348875126,10.068508033693771,N
8760,8792.0,8840.0,-0.5942417518127836,-2.9655077548583515,4.165358254164405,4.990406254376817,-4.759600005977189,-7.130866009022757,0.6674645127190469,-7.009534825612027,N
8948,8903.0,9001.0,3.2792062366661923,-8.578258950975284,3.3702733246263783,-2.6159559148973743,-0.09106708796018603,-11.948532275601663,0.007621612919449589,1.027771076714214,N
9137,9115.0,9163.0,0.8211936404035093,-4.4686446415275904,0.28874013172231416,-5.441645455670889,0.5324535086811951,-4.757384773249905,-0.11192147241801949,0.3516102871673923,N
9323,9351.0,9402.0,-1.6078817510985188,-5.663152685383735,3.638259613032812,3.5221201319777524,-5.246141364131331,-9.301412298416547,0.5640155705198041,-2.2627656608125077,N
9514,9547.0,9613.0,1.369923900489522,-6.908065129515182,2.020360148876448,-5.0426634114834314,-0.6504362483869262,-8.92842527839163,0.07285005228873864,1.474797357834623,N
9706,9644.0,9749.0,1.91483854381652,-7.03303137554849,-0.20926753877899512,-3.672910908473125,2.124106082595515,-6.823763836769495,-0.31128071448631917,-0.10928730229228514,N
9903,9858.0,9945.0,1.6441571717333339,-1.3593257862253139,-0.22830823971162703,-0.8267614614923099,1.8724654114449608,-1.131017546513687,-1.6555582335718444,-0.1388603496288227,N
10095,10051.0,10137.0,1.6236822926023837,-1.3364004056405427,-0.21240610317462844,-0.8230676726163003,1.8360883957770122,-1.1239943024659143,-1.6335388816018421,-0.13081752762986104,N
10291,10246.0,10318.0,1.6379524279600297,-1.3404825751032359,0.2330161179907696,-0.8183891987465872,1.4049363099692602,-1.5734986930940056,-0.892874151173715,0.14226061393063597,N
10495,10449.0,10523.0,1.6668537205224345,-1.3436960952910615,0.23129489607958614,-0.8061271836558717,1.4355588244428483,-1.5749909913706477,-0.91147113368156,0.1387613641388354,N
10698,10651.0,10725.0,1.6366619284724049,-1.3588742959448434,0.23598926070974574,-0.8302718309169461,1.400672667762659,-1.5948635566545892,-0.8782398104955963,0.1441893750959361,N
10899,10853.0,10926.0,1.6386913489248174,-1.350909847490379,0.26790848527372463,-0.8243833400211342,1.3707828636510928,-1.6188183327641035,-0.8467799232978203,0.16348929006643348,N
11102,11055.0,11129.0,1.6459117245992816,-1.352980624663612,0.23773869786184154,-0.8220250238468971,1.40817302673744,-1.5907193225254534,-0.8852429255098254,0.1444419492908844,N
