peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,annotation
197,0.0,225.0,1.474096487660372,0.10861144463167395,0.5522106693017832,0.07368001046122684,0.9218858183585887,-0.44359922467010926,-2.0781952877491303,0.374609582157156,N
401,428.0,504.0,1.6612444275185851,0.710852925912651,-0.3312481927819332,0.4279038738293666,1.9924926203005184,1.042101118694584,1.9119954719907293,-0.19939762463295146,N
602,617.0,678.0,1.0445383116360651,0.33496267670531893,-1.0145744611694114,0.3206801253471166,2.0591127728054763,1.3495371378747303,1.5257918548638059,-0.9713137851117005,N
798,834.0,869.0,2.522813379975423,0.3023273470148722,0.14744570716901612,0.11983738052705961,2.375367672806407,0.15488163984585607,15.336664017571486,0.058444952107576234,N
994,1016.0,1074.0,-0.6149470384350684,-1.0551422075583747,1.421471594445536,1.7158261469858045,-2.036418632880604,-2.476613802003911,0.8222592602984244,-2.311534986920061,N
1189,1132.0,1245.0,3.530175466085831,-3.762472969800736,-0.9720840369270641,-1.0658033873801946,4.502259503012895,-2.7903889328736717,-1.61348815929264,-0.275364226584716,N
1377,1384.0,1444.0,-0.5790337300186937,-0.9109872122750499,1.420096738477266,1.5732886791338376,-1.9991304684959599,-2.331083950752316,0.8575969423369656,-2.4525285227018108,N
1561,1706.0,1779.0,1.3970488124344644,-4.314234966593295,3.196793568410025,-3.088106104950915,-1.7997447559755604,-7.5110285350033195,0.2396136225003391,2.2882475830170654,N
1754,1706.0,1779.0,1.7775624499607499,-4.314234966593295,3.196793568410025,-2.427051137746838,-1.419231118449275,-7.5110285350033195,0.18895296587348775,1.7984142095714346,N
1934,1877.0,1953.0,3.3178593023194813,-5.038338997415794,1.7685843747425147,-1.5185511314158329,1.5492749275769666,-6.806923372158309,-0.22760281596731555,0.5330498413558753,N
2120,2070.0,2160.0,2.3169863529694177,-2.4533732013814116,-1.3261172197389561,-1.0588638980273675,3.643103572708374,-1.1272559816424554,-3.2318334362708208,-0.5723457188426779,N
2306,2261.0,2320.0,1.4557628387892974,0.6784130217066704,0.11200719440967441,0.46601891711350507,1.343755644379623,0.566405827296996,2.3724255288691127,0.07694055063448833,N
2490,2504.0,2545.0,-0.3420449681889368,-1.5409190230916423,0.9706006294740992,4.5050188320281865,-1.312645597663036,-2.5115196525657417,0.5226499407727314,-2.837640426676192,N
2671,2726.0,2775.0,-1.529608001937405,-2.093655122480304,0.09758928153718123,1.3687527260765344,-1.6271972834745863,-2.1912444040174854,0.7425905026802303,-0.06380019025369534,N
2855,2809.0,2919.0,1.4155814234335427,-1.6214416441731336,1.4171637182488386,-1.1454245000194123,-0.001582294815295926,-3.038605362421972,0.0005207306071607572,1.0011177702596987,N
3039,3000.0,3127.0,0.5913463981632373,-3.3904751507734567,1.230083868687542,-5.73348406501588,-0.6387374705243046,-4.620559019460998,0.13823813695140622,2.080140967304895,N
3222,3193.0,3281.0,-0.9290688102780925,-3.329455500328989,1.9920328972580688,3.5836479101396197,-2.9211017075361614,-5.321488397587058,0.5489256932065637,-2.1441177178919673,N
3407,3349.0,3446.0,4.3341230720727655,-3.6177207685751505,-0.7717219351975427,-0.8347065158085138,5.105845007270308,-2.8459988333776076,-1.7940432537741886,-0.17805722688637723,N
3591,3623.0,3661.0,1.396282352153023,-0.8997979482117813,2.0568364650501603,-0.6444240642476942,-0.6605541128971373,-2.9566344132619413,0.22341420025899422,1.4730806143031057,N
3780,3731.0,3810.0,3.076472236721463,-4.089133662323587,1.2198519175818132,-1.3291631933208337,1.85662031913965,-5.308985579905401,-0.34971282012273475,0.3965099710705616,N
3970,4005.0,4113.0,-1.8282021877067574,-0.7058314881443876,-0.2666602345940189,0.38607955558228585,-1.5615419531127386,-0.4391712535503687,3.5556561147589885,0.14585926895126933,N
4162,4234.0,4274.0,-0.3495397252673613,-0.6050532525026903,-0.554784337874887,1.7309999658547761,0.2052446126075257,-0.05026891462780325,-4.082933043754378,1.5871853691323212,N
4362,4295.0,4398.0,3.1624014709921333,-0.7106848909605521,-0.7534523565805248,-0.22472949670668807,3.915853827572658,0.04276746561997269,91.56151225720349,-0.2382532273311098,N
4555,4505.0,4589.0,1.6015560779132203,-1.3133911790253887,0.48003963370538794,-0.8200719270078249,1.1215164442078325,-1.7934308127307768,-0.6253469251485367,0.2997332658690698,N
4756,4705.0,4789.0,1.527687374637388,-1.3250623501926233,0.43040990524132583,-0.8673648628582403,1.097277469396062,-1.7554722554339492,-0.6250611287073957,0.2817395184296054,N
4947,4898.0,4979.0,1.5379981709846853,-1.3271723090492915,0.47336367934585166,-0.8629219033463382,1.0646344916388335,-1.800535988395143,-0.5912875379890437,0.30777909120840247,N
5142,5092.0,5175.0,1.55724476827146,-1.339087042382213,0.4541553128480736,-0.8599078768256824,1.1030894554233865,-1.7932423552302865,-0.6151368509705587,0.2916402880917593,N
5335,5286.0,5368.0,1.5490105738174653,-1.343152898957532,0.4528023895941092,-0.8671037639513289,1.0962081842233562,-1.7959552885516412,-0.6103760996786283,0.29231717152078474,N
5527,5478.0,5559.0,1.5479345131274789,-1.3381409579984809,0.48476097290029163,-0.8644687140510054,1.0631735402271874,-1.8229019308987726,-0.5832313424030414,0.3131663315141611,N
5723,5673.0,5756.0,1.5488006661407885,-1.336406829595409,0.46394027257927034,-0.8628656087328461,1.0848603935615182,-1.8003471021746793,-0.6025840196321538,0.2995480843479295,N
5916,5867.0,5948.0,1.545292094741575,-1.3340485752341775,0.46482100980407387,-0.8632986474037943,1.080471084937501,-1.7988695850382515,-0.6006389200885431,0.3007981542038547,N
6107,6058.0,6139.0,1.5501937235467016,-1.3402561982990413,0.48673687617535305,-0.8645733613426441,1.0634568473713486,-1.8269930744743943,-0.5820803933136383,0.3139845483709891,N
6303,6253.0,6336.0,1.5464316779833809,-1.3404186841614203,0.46989502487291585,-0.866781703482296,1.076536653110465,-1.8103137090343362,-0.5946685636517192,0.3038576042917595,N
6500,6450.0,6532.0,1.5420113679163934,-1.333807130295369,0.46706549414007026,-0.8649787920160695,1.0749458737763231,-1.8008726244354392,-0.5969027787922042,0.30289367760704744,N
6692,6643.0,6725.0,1.5496438506435497,-1.3341273595463823,0.45397021664282805,-0.8609251467634542,1.0956736340007216,-1.7880975761892104,-0.612759420174272,0.2929513232697302,N
6881,6833.0,6913.0,1.5438109982380381,-1.3333808575519153,0.49488398233186337,-0.8636943635417236,1.0489270159061748,-1.8282648398837786,-0.5737281563500692,0.32055995383934804,N
7075,7026.0,7108.0,1.5621591281463207,-1.344989603428105,0.4608724702439081,-0.8609811761136575,1.1012866579024125,-1.8058620736720132,-0.6098398509821255,0.29502274252353894,N
7267,7218.0,7299.0,1.5503030618183467,-1.3329529061823013,0.4696932911222689,-0.8598015052739973,1.0806097706960778,-1.8026461973045702,-0.5994574932739843,0.302968692180332,N
7455,7407.0,7486.0,1.54349457695912,-1.331075950944509,0.4946397748762186,-0.8623781196347948,1.0488548020829014,-1.8257157258207275,-0.5744896575349385,0.3204674524031835,N
7643,7595.0,7675.0,1.5520063603407166,-1.3281704524114504,0.47187160462368893,-0.8557764235707598,1.0801347557170278,-1.8000420570351392,-0.6000608438539068,0.30403973635784426,N
7824,7778.0,7854.0,1.520438366985036,-1.301599114967475,0.48833070795488587,-0.8560683176842545,1.0321076590301503,-1.7899298229223608,-0.5766190639502622,0.3211775752036728,N
8000,7955.0,8030.0,1.5207329712319186,-1.2922603970517825,0.48361418781891435,-0.849761543609425,1.0371187834130042,-1.775874584870697,-0.584004519377993,0.31801387683936855,N
8172,8128.0,8201.0,1.512952735741775,-1.284499011285599,0.5199040622760867,-0.8490014135542913,0.9930486734656883,-1.8044030735616856,-0.5503474739186315,0.3436353628199671,N
8346,8301.0,8376.0,1.534229796638091,-1.3085077072789246,0.5376667311516732,-0.8528759577908186,0.9965630654864177,-1.8461744384305978,-0.5397989728064805,0.350447326945315,N
8532,8485.0,8564.0,1.5719970860922883,-1.332533843006895,0.4907311833914155,-0.8476694103290883,1.0812659027008729,-1.8232650263983103,-0.593038251184367,0.31217054263840144,N
8718,8670.0,8749.0,1.5435582799063954,-1.331629370038556,0.49043868662422113,-0.8627010637520657,1.0531195932821742,-1.8220680566627772,-0.577980383022039,0.317732535925992,N
8906,8858.0,8937.0,1.5572376487126083,-1.3348283596942894,0.5034208738267849,-0.8571770408953393,1.0538167748858234,-1.8382492335210743,-0.573271978396145,0.3232781292200137,N
9094,9046.0,9126.0,1.5520506457645329,-1.3376896725557588,0.4935800985395244,-0.8618853232697308,1.0584705472250084,-1.8312697710952832,-0.5779981540305429,0.31801803625833946,N
9284,9236.0,9316.0,1.5531291446327222,-1.338284059583565,0.4843166710369203,-0.8616695296771584,1.068812473595802,-1.8226007306204852,-0.5864216202919748,0.31183283934282846,N
9473,9425.0,9505.0,1.5506696449994404,-1.3339356382943461,0.49199776770661424,-0.860231992414366,1.058671877292826,-1.8259334060009604,-0.579797638738348,0.3172808401152341,N
9663,9615.0,9695.0,1.5535291677735632,-1.3377263564889639,0.4844068197308217,-0.8610886645959299,1.0691223480427414,-1.8221331762197857,-0.5867421558399768,0.31181057284238073,N
9852,9804.0,9884.0,1.5496658972918722,-1.3372649348368115,0.499247925193791,-0.8629375771730905,1.050417972098081,-1.8365128600306027,-0.571963308811558,0.32216487829167223,N
