peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,annotation
226,280.0,381.0,1.427603343713206,-0.1683968971631048,-0.939305323924658,-0.11795776320129883,2.366908667637864,0.7709084267615532,3.070285114901155,-0.6579595992550132,N
450,401.0,481.0,1.4080232707518836,-1.277807101645732,0.31406091992157675,-0.9075184538415929,1.093962350830307,-1.5918680215673087,-0.6872192518530664,0.22305094414658957,N
667,620.0,698.0,1.4006155141533785,-1.277097853828954,0.3293941384900152,-0.9118118719403971,1.0712213756633633,-1.606491992318969,-0.6668077903812372,0.23517813072998986,N
890,842.0,922.0,1.4223085535170028,-1.2830847906495482,0.30031729659422296,-0.9021142335654313,1.12199125692278,-1.583402087243771,-0.7085952873005433,0.2111477821402505,N
1112,1064.0,1144.0,1.4118774119057513,-1.2842656955927523,0.29516461314217746,-0.9096155833099214,1.1167127987635739,-1.5794303087349297,-0.7070351838809672,0.20905824447163895,N
1334,1286.0,1366.0,1.414579047537208,-1.2819973892183618,0.29655728780239293,-0.9062748323964844,1.118021759734815,-1.5785546770207548,-0.7082565944721567,0.2096434895728883,N
1554,1506.0,1585.0,1.4014410913484143,-1.2844024449198652,0.3112584984347199,-0.9164869310946642,1.0901825929136943,-1.5956609433545852,-0.6832169437084704,0.22209888118468013,N
1780,1731.0,1812.0,1.4204865738960883,-1.2858009445479377,0.29894059005329127,-0.9051834548645279,1.121545983842797,-1.584741534601229,-0.7077153967097943,0.2104494301789574,N
2002,1954.0,2034.0,1.4048141326787433,-1.2807482920354254,0.2907035906346642,-0.9116852274209789,1.114110542044079,-1.5714518826700896,-0.7089689186989732,0.20693384546206234,N
2224,2176.0,2277.0,1.4143960296809162,-1.2816581117299648,-0.09496276565814407,-0.9061522266992671,1.5093587953390601,-1.1866953460718208,-1.2719008297582985,-0.06714015287469904,N
2444,2396.0,2481.0,1.378037988030327,-1.282535919693107,0.04183875574175778,-0.9306970713675867,1.3361992322885692,-1.3243746754348649,-1.008928407551905,0.030361104777350316,N
2674,2761.0,2821.0,5.511389185035257,-3.384988174239351,0.8654401700827695,-0.6141805741881566,4.645949014952487,-4.2504283443221205,-1.0930543085519175,0.15702759159753174,N
2897,2857.0,2938.0,3.672722553476032,-0.2699564300689118,-1.50338293323308,-0.0735030828324924,5.176105486709112,1.2334265031641682,4.196525267967406,-0.40933746324241393,N
3128,3064.0,3184.0,1.6188113361410443,-0.6445319623315809,-2.2914135486615943,-0.39815137684174456,3.9102248848026386,1.6468815863300135,2.37432060523329,-1.4154914149068865,N
3346,3431.0,3520.0,0.760930550963998,0.8089589103543761,-1.483670115961047,1.0631179275553235,2.244600666925045,2.292629026315423,0.9790509677583703,-1.9498101555804719,N
3570,3608.0,3674.0,-3.1761862223983828,-0.15129833134221393,2.177584402615773,0.04763522059105415,-5.353770625014156,-2.328882733957987,2.2988579660751345,-0.6855972068827402,N
3787,3863.0,3911.0,-0.4489322912164498,-0.05618831034638947,2.2594053103042926,0.12515987699200423,-2.7083376015207423,-2.315593620650682,1.1696083360083274,-5.0328420443583886,N
4010,3967.0,4081.0,2.1144247602616875,-3.2754550259768234,-4.093061470359398,-1.5490998249431411,6.207486230621086,0.8176064443825748,7.592266760212174,-1.935780145637733,N
4223,4178.0,4239.0,3.497322835199229,-1.594587620279225,2.5408482714171527,-0.45594521736177884,0.9564745637820762,-4.135435891696378,-0.23128748427767917,0.7265123613537984,N
4448,4513.0,4610.0,1.8765992197732095,-2.288187647148305,-1.7366242631081812,-1.2193267603643343,3.6132234828813905,-0.5515633840401237,-6.550876268136292,-0.9254103086103038,N
4670,4693.0,4746.0,1.0797452598636508,-3.122766936628256,0.9673744336471795,-2.8921330361039015,0.11237082621647132,-4.090141370275436,-0.027473580016845262,0.8959283912664164,N
4888,4992.0,5037.0,1.4279804817481465,-0.23178731718153575,-2.2953385321267508,-0.16231826705206756,3.7233190138748973,2.063551214945215,1.8043259536806542,-1.6074018948191622,N
5110,5138.0,5224.0,0.8101344904955379,-3.209373723464289,1.6710464117159092,-3.961532018592617,-0.8609119212203713,-4.880420135180199,0.17640119034313098,2.062677779208949,N
5338,5311.0,5384.0,0.23135038579739928,-2.7253981024375284,-0.6352907788082781,-11.780391431135302,0.8666411646056774,-2.0901073236292502,-0.4146395521455074,-2.746011322257409,N
5556,5656.0,5709.0,0.5260990592377164,0.8704972158957442,-0.48454884774313683,1.6546260644469477,1.0106479069808532,1.355046063638881,0.7458402589405921,-0.9210220760425173,N
5778,5788.0,5833.0,-0.3932215773362004,-1.0778634898340884,0.11079164730095144,2.74110972530006,-0.5040132246371518,-1.1886551371350398,0.42401972522657116,-0.2817537329754052,N
6002,6053.0,6130.0,4.954301145655909,-2.8942789206024178,-0.44473329156587105,-0.5841951943394105,5.39903443722178,-2.449545629036547,-2.2040962916642313,-0.08976710912210646,N
6224,6180.0,6249.0,2.3259419313749463,-2.9298467220016664,1.6841941754932752,-1.259638808037538,0.6417477558816711,-4.614040897494942,-0.1390858404029512,0.7240912392415956,N
6440,6395.0,6476.0,0.9808352997732379,-2.1614780379452205,-0.5596064163905846,-2.2037115083897763,1.5404417161638224,-1.6018716215546358,-0.9616511681933694,-0.5705406570501302,N
