peak_pos,onset,diastolic_notch
80,0.0,105.0
163,136.0,188.0
246,218.0,270.0
329,300.0,353.0
393,373.0,421.0
492,459.0,516.0
578,548.0,602.0
643,621.0,683.0
835,876.0,930.0
897,876.0,930.0
1006,970.0,1034.0
1091,1063.0,1114.0
1161,1137.0,1191.0
1263,1229.0,1292.0
1349,1321.0,1375.0
1435,1405.0,1459.0
1519,1490.0,1544.0
1604,1575.0,1629.0
1687,1659.0,1712.0
1771,1743.0,1796.0
1857,1827.0,1881.0
1917,1899.0,1946.0
2023,1988.0,2052.0
2108,2081.0,2135.0
2197,2167.0,2222.0
2282,2253.0,2307.0
2367,2338.0,2392.0
2453,2424.0,2478.0
2542,2512.0,2567.0
2629,2599.0,2654.0
2716,2686.0,2741.0
2782,2761.0,2811.0
2891,2855.0,2920.0
2977,2950.0,3003.0
3063,3034.0,3088.0
3146,3118.0,3170.0
3208,3188.0,3233.0
3298,3267.0,3326.0
3395,3363.0,3422.0
3475,3451.0,3536.0
3552,3560.0,3608.0
3637,3747.0,3789.0
3726,3747.0,3789.0
3800,3861.0,3934.0
3887,3861.0,3934.0
4317,4468.0,4519.0
4423,4468.0,4519.0
4487,4468.0,4519.0
4592,4558.0,4620.0
4693,4659.0,4720.0
4772,4746.0,4800.0
4868,4836.0,4895.0
4954,4925.0,4979.0
5021,5000.0,5048.0
5122,5088.0,5147.0
5209,5180.0,5234.0
5284,5264.0,5322.0
5464,5434.0,5488.0
5531,5509.0,5561.0
5632,5598.0,5656.0
5716,5688.0,5740.0
5798,5770.0,5823.0
5882,5854.0,5907.0
5965,5937.0,5989.0
6045,6017.0,6069.0
6129,6100.0,6153.0
6213,6184.0,6237.0
6275,6256.0,6303.0
6378,6343.0,6402.0
6462,6434.0,6487.0
6550,6519.0,6575.0
6616,6596.0,6644.0
6717,6683.0,6742.0
6805,6775.0,6830.0
6889,6860.0,6914.0
6965,6940.0,6990.0
7051,7021.0,7075.0
7143,7111.0,7169.0
7227,7199.0,7252.0
7308,7280.0,7332.0
7392,7363.0,7416.0
7475,7447.0,7500.0
7558,7530.0,7582.0
7640,7612.0,7665.0
7723,7696.0,7748.0
7890,7925.0,7977.0
7965,7925.0,7977.0
8052,8091.0,8128.0
8114,8091.0,8128.0
8319,8354.0,8396.0
8620,8748.0,8800.0
8726,8748.0,8800.0
8854,8826.0,8873.0
8939,8893.0,8971.0
9082,9138.0,9189.0
9156,9138.0,9189.0
9266,9275.0,9306.0
9311,9345.0,9395.0
9932,9916.0,9949.0
10039,10002.0,10057.0
10123,10093.0,10147.0
10207,10176.0,10229.0
10271,10250.0,10288.0
10356,10411.0,10471.0
10431,10411.0,10471.0
10591,10659.0,10746.0
10712,10659.0,10746.0
10769,10827.0,10880.0
10857,10827.0,10880.0
10940,10912.0,10965.0
11025,10996.0,11049.0
11109,11081.0,11134.0
11193,11165.0,11218.0
11277,11248.0,11301.0
11360,11331.0,11384.0
11444,11415.0,11469.0
11527,11501.0,11573.0
11868,11839.0,11893.0
11944,11918.0,11967.0
12033,12004.0,12062.0
12524,12486.0,12550.0
12670,12746.0,12809.0
13290,13304.0,13349.0
13448,13414.0,13467.0
13990,13954.0,14050.0
14077,14137.0,14193.0
14167,14137.0,14193.0
14255,14225.0,14298.0
14317,14388.0,14452.0
14423,14388.0,14452.0
14509,14481.0,14535.0
14595,14566.0,14620.0
14678,14650.0,14703.0
14764,14735.0,14789.0
14852,14822.0,14877.0
14919,14897.0,14950.0
15022,14988.0,15046.0
15108,15079.0,15133.0
15176,15154.0,15253.0
15267,15335.0,15383.0
15424,15404.0,15454.0
15523,15489.0,15577.0
15604,16401.0,16440.0
15688,16401.0,16440.0
15767,16401.0,16440.0
15847,16401.0,16440.0
15928,16401.0,16440.0
16009,16401.0,16440.0
16092,16401.0,16440.0
16172,16401.0,16440.0
16253,16401.0,16440.0
16332,16401.0,16440.0
16910,17007.0,17058.0
19169,19494.0,19556.0
19276,19494.0,19556.0
19341,19494.0,19556.0
19427,19494.0,19556.0
19527,19494.0,19556.0
19612,19585.0,19638.0
19699,19669.0,19724.0
19784,19755.0,19809.0
19868,19840.0,19893.0
19953,19924.0,19978.0
20041,20011.0,20066.0
20106,20086.0,20133.0
20473,20516.0,20606.0
20593,20819.0,20870.0
20709,20819.0,20870.0
21362,21511.0,21565.0
21540,21511.0,21565.0
21601,21583.0,21679.0
21875,21927.0,21979.0
21950,21927.0,21979.0
22046,22013.0,22072.0
22120,22097.0,22143.0
22199,22172.0,22228.0
22298,22265.0,22325.0
22381,22354.0,22407.0
22467,22438.0,22492.0
22548,22521.0,22572.0
22629,22605.0,22659.0
22700,22680.0,22722.0
22799,22767.0,22814.0
22880,22852.0,22913.0
22952,22929.0,22991.0
23048,23017.0,23063.0
23135,23101.0,23178.0
23193,23247.0,23305.0
23284,23247.0,23305.0
23383,23344.0,23402.0
23464,23435.0,23477.0
23544,23515.0,23566.0
23628,23601.0,23666.0
23709,23683.0,23726.0
23792,23770.0,23820.0
23948,24024.0,24096.0
24067,24024.0,24096.0
24148,24121.0,24181.0
24236,24208.0,24250.0
24335,24296.0,24370.0
24390,24466.0,24529.0
24507,24466.0,24529.0
24584,24553.0,24606.0
24650,24627.0,24696.0
24825,24885.0,24946.0
24923,24885.0,24946.0
25006,24978.0,25029.0
25089,25061.0,25112.0
25171,25143.0,25195.0
25251,25223.0,25275.0
25316,25295.0,25346.0
25415,25382.0,25439.0
25499,25471.0,25523.0
25581,25553.0,25606.0
25667,25637.0,25691.0
25836,25809.0,25859.0
26682,26729.0,26778.0
26751,26729.0,26778.0
26850,26816.0,26874.0
26934,26906.0,26959.0
27018,26990.0,27043.0
27102,27074.0,27127.0
27186,27157.0,27210.0
27269,27240.0,27293.0
27351,27323.0,27376.0
27435,27406.0,27459.0
27499,27479.0,27527.0
27600,27566.0,27624.0
27685,27657.0,27710.0
27769,27741.0,27794.0
27854,27825.0,27878.0
27914,27896.0,27943.0
28020,27985.0,28048.0
28104,28077.0,28126.0
28168,28146.0,28199.0
28270,28236.0,28299.0
28353,28327.0,28377.0
28428,28402.0,28451.0
28520,28488.0,28547.0
28605,28577.0,28630.0
28688,28660.0,28712.0
28771,28742.0,28795.0
28854,28825.0,28878.0
28922,28900.0,28951.0
29018,28986.0,29045.0
29103,29075.0,29128.0
29176,29152.0,29204.0
29269,29238.0,29296.0
29349,29323.0,29374.0
29416,29394.0,29446.0
29518,29483.0,29542.0
29602,29574.0,29626.0
29684,29655.0,29708.0
29765,29738.0,29790.0
29847,29821.0,29930.0
29946,30016.0,30070.0
30105,30173.0,30220.0
30266,30247.0,30287.0
30858,30925.0,30989.0
31114,31123.0,31173.0
31202,31207.0,31256.0
31267,31348.0,31413.0
32469,32475.0,32529.0
32559,32564.0,32663.0
32648,32759.0,32839.0
33338,33361.0,33422.0
33445,33543.0,33594.0
33996,33964.0,34035.0
34095,34149.0,34186.0
34270,34301.0,34369.0
34339,34301.0,34369.0
34745,34710.0,34760.0
35014,35054.0,35108.0
35089,35054.0,35108.0
35171,35128.0,35213.0
35686,35663.0,35734.0
35754,35821.0,35879.0
35855,35821.0,35879.0
35939,35911.0,35961.0
36006,35984.0,36036.0
36104,36071.0,36128.0
36188,36160.0,36212.0
36261,36236.0,36285.0
36355,36322.0,36381.0
36438,36410.0,36463.0
36503,36482.0,36532.0
36608,36573.0,36636.0
36693,36665.0,36719.0
36782,36752.0,36807.0
36866,36837.0,36891.0
36954,36924.0,36979.0
37037,37009.0,37062.0
37122,37093.0,37147.0
37208,37179.0,37233.0
37286,37260.0,37310.0
37375,37344.0,37399.0
37438,37418.0,37467.0
37544,37509.0,37572.0
37629,37601.0,37655.0
37716,37686.0,37741.0
37800,37771.0,37824.0
37866,37845.0,37893.0
