peak_pos,onset,diastolic_notch
57,1,275
197,1,275
296,466,511
394,466,511
966,944,985
1063,1039,1082
1160,1136,1236
1258,1376,1511
1357,1376,1511
1970,2258,2368
2076,2258,2368
2179,2258,2368
3127,3061,3179
3399,3555,3644
3716,3885,3937
3793,3885,3937
3909,3885,3937
5569,5532,5585
6631,6717,6771
7093,7469,7574
7193,7469,7574
7292,7469,7574
7394,7469,7574
7588,7707,7761
8181,8193,8251
8364,8405,8449
8869,9704,9852
8954,9704,9852
9073,9704,9852
9182,9704,9852
9295,9704,9852
9398,9704,9852
9522,9704,9852
9972,10256,10303
10075,10256,10303
10178,10256,10303
10281,10256,10303
10385,10360,10406
10489,10463,10570
10591,10685,10729
10799,10863,10895
12185,12151,12219
12532,12506,12554
12627,12606,12647
12721,12698,12740
12813,12791,12833
12905,12883,12925
12997,12975,13016
13088,13066,13108
13180,13158,13199
13271,13249,13291
13365,13342,13384
13458,13435,13477
13549,13528,13659
13739,13720,13806
14128,14397,14440
14225,14397,14440
14322,14397,14440
14421,14397,14440
14517,14494,14537
14614,14591,14634
14713,14689,14733
14811,14787,14855
14868,14975,15032
15006,14975,15032
15105,15084,15126
15203,15179,15223
15299,15276,15318
15396,15373,15417
15685,15656,15706
15876,15859,15897
16070,16051,16099
16278,16294,16356
16495,16516,16572
16574,16597,16666
16690,16808,16871
16787,16808,16871
16886,16965,17007
16985,16965,17007
17092,17068,17111
17186,17140,17221
17251,17280,17337
17401,17369,17414
17488,17440,17520
17599,17574,17619
17701,17677,17720
17799,17776,17818
17898,17874,17917
17997,17973,18017
18099,18075,18120
18201,18177,18222
18306,18281,18327
18409,18385,18430
18491,18473,18514
18611,18583,18634
18719,18694,18740
18825,18800,18846
18931,18906,18952
19037,19012,19058
19146,19120,19167
19232,19213,19256
19355,19327,19378
19462,19437,19483
19569,19543,19590
19674,19650,19695
19781,19755,19802
19888,19862,19909
19968,19950,19992
20088,20060,20111
20191,20169,20213
20299,20311,20446
21110,21277,21379
21197,21277,21379
21303,21277,21379
21402,21576,21619
21501,21576,21619
21600,21576,21619
21698,21674,21717
21797,21773,21817
21896,21873,21916
21995,21972,22015
22094,22071,22114
22194,22170,22214
22294,22270,22314
22394,22369,22436
22449,22564,22623
22596,22564,22623
22700,22677,22722
22800,22776,22820
22899,22875,22918
22997,22973,23017
23096,23073,23116
23195,23171,23214
23293,23269,23313
23392,23369,23412
23492,23468,23512
23591,23568,23611
23690,23667,23710
23789,23765,23808
23887,23863,23906
23985,23961,24005
24081,24058,24101
24180,24156,24200
24279,24255,24321
24334,24447,24506
24479,24447,24506
24579,24558,24601
24681,24656,24701
24780,24756,24821
24835,24947,25007
24980,24947,25007
25079,25058,25101
25178,25154,25198
25278,25253,25322
25335,25442,25499
25473,25442,25499
25571,25551,25592
25668,25645,25741
25764,25833,25884
25854,25833,25884
26135,26293,26404
26190,26293,26404
26415,26547,26632
28626,28716,28762
28985,28920,29016
29099,29115,29163
30265,30730,30798
30363,30730,30798
30460,30730,30798
30559,30730,30798
30657,30730,30798
30753,30730,30798
30812,30920,30978
30952,30920,30978
31051,31030,31072
31150,31126,31170
31249,31225,31269
31343,31321,31363
31440,31416,31460
31536,31513,31556
31632,31609,31652
31729,31705,31749
31825,31803,31846
31922,31934,31979
32512,32544,32600
32745,32774,32856
33058,33140,33262
33114,33140,33262
34771,34856,34903
34883,34856,34903
34987,34963,35008
35103,35075,35125
35215,35189,35236
35324,35298,35345
35414,35394,35438
35534,35507,35558
35644,35619,35666
35756,35729,35777
35865,35839,35886
35975,35949,36016
36031,36149,36211
36182,36149,36211
36290,36266,36312
36398,36372,36419
36504,36478,36524
36609,36585,36682
36700,36849,36903
38369,38325,38393
38950,38982,39017
39200,39173,39224
39320,39292,39343
39440,39412,39463
39559,39531,39581
39677,39649,39699
39795,39767,39818
39887,39866,39913
40027,39995,40053
40143,40117,40165
40259,40231,40280
40371,40345,40393
40483,40456,40527
40542,40669,40734
40704,40669,40734
40816,40792,40839
40926,40900,40947
41034,41008,41055
41240,41328,41401
42018,42077,42116
43000,43305,43432
43112,43305,43432
43222,43305,43432
43416,43305,43432
44008,44088,44127
44835,44808,44858
44952,44925,44974
45067,45040,45089
45181,45154,45203
45297,45270,45319
45416,45388,45438
45531,45504,45553
45647,45620,45669
45766,45738,45788
45880,45854,45903
45997,45969,46019
46116,46088,46139
46231,46205,46254
46346,46319,46368
46462,46435,46484
46578,46551,46600
46692,46665,46714
46808,46781,46830
46925,46897,46947
47040,47013,47062
47157,47129,47179
47275,47248,47298
47986,48173,48235
48101,48173,48235
48194,48173,48235
48247,48310,48378
48333,48310,48378
48390,48435,48478
48454,48435,48478
48590,48559,48616
48710,48683,48732
48769,48752,48818
48942,48905,48975
49508,49533,49594
49625,49648,49694
50197,50235,50294
50402,50468,50502
50520,50607,50670
50829,50784,50862
51074,51026,51091
51612,51666,51719
51973,52003,52066
52127,52147,52211
52407,52480,52526
52798,52835,52913
53112,53052,53129
53497,53462,53522
53631,53600,53656
53770,53738,53795
53906,53874,53931
54040,54009,54077
54174,54145,54201
54478,54411,54514
58194,58162,58220
58331,58299,58356
58473,58440,58499
58613,58581,58638
58754,58721,58779
58898,58865,58924
59040,59008,59066
59175,59144,59200
59315,59282,59340
59458,59425,59484
59597,59565,59623
59741,59707,59767
59885,59852,59911
60025,59993,60050
60169,60136,60195
60313,60280,60339
60454,60421,60567
60600,61063,61207
60742,61063,61207
60886,61063,61207
61029,61063,61207
61307,61278,61337
61616,62563,62625
61744,62563,62625
61892,62563,62625
62031,62563,62625
62171,62563,62625
62312,62563,62625
62451,62563,62625
62597,62563,62625
62742,62709,62768
62885,62852,62911
63030,62997,63056
63170,63138,63195
63309,63277,63334
63442,63411,63466
63576,63545,63678
63708,63924,64016
63841,63924,64016
64391,64648,64708
64537,64648,64708
64681,64648,64708
64824,64791,64850
64967,64934,64993
65112,65079,65139
65256,65223,65282
65404,65369,65430
65555,65520,65666
65698,65868,65989
65850,65868,65989
67427,67476,67593
68711,68817,68876
68849,68817,68876
68997,68963,69023
69143,69110,69170
69298,69315,69468
69733,69750,69785
70354,70369,70429
71368,71769,71854
71514,71769,71854
71659,71769,71854
71814,71769,71854
72126,72070,72174
72401,72355,72431
73380,73440,73483
73505,73629,73674
73933,73904,73949
74082,74106,74169
74215,74197,74246
74364,74325,74391
74510,74476,74536
74649,74617,74675
74792,74759,74818
74936,74903,74962
75077,75044,75102
75222,75189,75249
75365,75332,75391
75508,75475,75534
75654,75621,75680
75798,75765,75824
75944,75911,75970
76092,76058,76118
76236,76203,76262
76381,76348,76407
76523,76491,76549
76670,76636,76696
76813,76780,76839
76957,76923,76995
77097,77201,77241
78256,78514,78658
78407,78514,78658
78547,78514,78658
78689,78772,78820
78836,78856,78914
78973,78943,79041
79124,79091,79159
79393,79370,79431
79677,79644,79685
79825,79793,79851
79970,79937,79996
80112,80080,80139
80257,80284,80486
81273,81785,81825
81416,81785,81825
81560,81785,81825
81704,81785,81825
81991,81953,82023
82130,82098,82156
82276,82242,82301
82421,82388,82447
82566,82533,82593
82712,82679,82738
82855,82822,82881
83000,82967,83027
83145,83112,83171
83285,83253,83310
83429,83396,83455
83574,83541,83600
83716,83684,83742
83859,83826,83885
84002,83969,84116
84150,84689,84749
84296,84689,84749
84435,84689,84749
84577,84689,84749
84850,84819,84888
86403,86371,86428
86547,86513,86573
86696,86662,86723
86843,86809,86869
86992,86958,87019
87143,87108,87169
87290,87256,87316
87440,87406,87467
87587,87553,87613
87734,87700,87760
87881,87847,87907
88023,87991,88133
88165,88557,88614
88308,88557,88614
88450,88557,88614
88588,88557,88614
88729,88748,88819
90206,90237,90294
91034,91048,91081
91284,91311,91384
92271,92239,92298
92412,92380,92434
92473,92454,92501
92616,92583,92641
92697,92678,92744
92902,92860,92939
93038,93009,93064
93171,93140,93195
93304,93338,93469
93564,93666,93719
94611,94553,94635
95039,95192,95261
95161,95192,95261
97515,97614,97671
97646,97614,97671
97780,97749,97804
97916,97884,97940
98054,98022,98079
98195,98162,98220
98334,98302,98360
98478,98445,98504
98618,98586,98643
98765,98731,98791
98915,98881,98942
99061,99028,99087
99209,99175,99235
99359,99325,99386
99505,99472,99531
99653,99619,99679
99803,99769,99830
99949,99915,99975
100101,100066,100128
100253,100219,100280
100401,100367,100427
100552,100517,100578
100699,100665,100725
100846,100812,100872
100994,100960,101020
101139,101106,101166
101283,101250,101309
101427,101394,101453
101573,101540,101599
101714,101681,101739
101859,101826,101970
102003,102114,102183
102147,102114,102183
102286,102258,102317
102726,102839,102899
102873,102839,102899
103018,102985,103044
103159,103126,103184
103305,103271,103341
104983,104951,105008
105117,105086,105141
105250,105219,105274
105392,105354,105422
105518,105477,105591
105667,105637,105692
105822,105783,105842
105949,105920,105991
106096,106067,106134
106156,106315,106403
106347,106315,106403
106646,106615,106700
106787,106755,106820
107050,107017,107089
107174,107147,107219
107310,107276,107346
107448,107413,107501
107582,107548,107604
107716,107687,107757
107862,107828,107876
108138,108104,108197
108442,108406,108464
108736,108701,108763
108882,108849,108908
109029,108995,109053
109107,109088,109150
109165,109209,109241
109228,109209,109241
109279,109268,109340
109329,109268,109340
109386,109369,109399
109442,109426,109509
109497,109426,109509
109553,109537,109593
109608,109645,109751
109660,109645,109751
109713,109645,109751
109765,109804,109857
109820,109804,109857
109872,109969,109999
109927,109969,109999
109985,109969,109999
110044,110028,110058
110104,110087,110148
110164,110271,110330
110303,110271,110330
110443,110468,110580
112337,112743,112803
112486,112743,112803
112631,112743,112803
112776,112743,112803
112922,112889,112948
113064,113032,113090
113210,113177,113236
113355,113322,113381
113494,113462,113519
113639,113605,113664
113783,113750,113809
113923,113891,113948
114069,114035,114095
114213,114180,114239
114355,114323,114381
114501,114467,114527
114648,114614,114674
114790,114758,114816
114934,114901,114960
115077,115044,115103
115219,115188,115244
115372,115383,115442
115499,115523,115629
115633,115780,115830
115930,115900,115948
116065,116043,116101
116964,117027,117124
117481,117595,117654
117629,117595,117654
117767,117735,117792
117906,117874,117931
118049,118016,118075
118193,118160,118219
118333,118301,118358
118476,118448,118516
118759,118730,118786
118905,118871,118931
119045,119013,119070
119189,119156,119215
119336,119302,119362
119478,119446,119504
119624,119591,119650
119771,119737,119797
119913,119881,119939
120057,120024,120083
120200,120167,120226
120339,120307,120364
120480,120447,120505
120623,120590,120649
120763,120731,120788
120907,120874,120933
121051,121018,121077
121191,121159,121216
121334,121301,121360
121476,121444,121502
121615,121583,121640
121755,121722,121780
121894,121862,121919
122031,121999,122056
122171,122138,122196
122314,122331,122418
122443,122495,122541
122606,122570,122638
122872,122843,122899
123017,122983,123042
123155,123123,123180
123294,123262,123337
123355,123517,123596
123558,123517,123596
123698,123668,123725
123967,124020,124077
125553,125539,125623
125692,125724,125781
127141,127628,127669
127282,127628,127669
127420,127628,127669
128609,128724,128792
129057,129400,129452
129788,130040,130118
130064,130040,130118
130643,130673,130714
130792,130761,130819
130935,130903,130961
131080,131047,131107
131226,131193,131339
131372,131664,131731
131941,132000,132068
133062,133273,133350
135605,136135,136321
135751,136135,136321
135891,136135,136321
136029,136135,136321
136166,136135,136321
136587,137252,137307
136731,137252,137307
136877,137252,137307
137025,137252,137307
137167,137252,137307
141629,141645,141723
143017,143120,143247
143264,143311,143379
144918,144861,144939
145223,145231,145309
145375,145401,145438
145669,145680,145734
145954,145909,146001
146112,146079,146138
146260,146226,146286
146409,146375,146436
146553,146520,146579
146698,146665,146725
146844,146811,146870
146986,146954,147012
147129,147096,147155
147273,147240,147299
147417,147384,147443
147562,147529,147589
147708,147675,147734
147855,147821,147881
148001,147968,148027
148145,148112,148171
148289,148256,148315
148436,148402,148550
148583,148986,149046
148726,148986,149046
148873,148986,149046
149017,148986,149046
149469,149449,149498
150326,150430,150580
152187,152155,152213
152333,152299,152359
152478,152445,152505
152911,153274,153444
153057,153274,153444
153139,153274,153444
155041,155005,155057
157047,157347,157376
157333,157347,157376
158353,158758,158820
158499,158758,158820
158643,158758,158820
158793,158758,158820
158939,158906,158965
159085,159052,159108
159147,159127,159202
159367,159323,159410
159513,159482,159541
159661,159627,159686
159801,159768,159826
159945,159912,159971
160092,160058,160118
160238,160205,160262
160308,160289,160359
160521,160478,160562
160669,160637,160696
160816,160782,160841
160960,160927,160987
161105,161072,161129
161175,161156,161226
161385,161343,161424
161531,161500,161559
161680,161646,161706
161825,161792,161852
161970,161937,161997
162114,162081,162230
162264,162379,162440
162717,162679,162743
162863,162830,162890
163015,162980,163042
163166,163131,163193
163299,163334,163399
163607,163582,163634
163772,163805,163870
163911,163925,163979
164063,164029,164090
164214,164179,164240
164361,164327,164387
164510,164476,164537
164660,164626,164687
164807,164773,164833
164952,164919,164979
165100,165066,165126
165247,165213,165273
165395,165361,165422
165545,165576,165690
165671,165576,165690
166000,165947,166027
166694,166665,166716
167284,167314,167384
167451,167428,167461
168158,168128,168184
168302,168269,168328
168446,168413,168472
168588,168556,168614
168734,168700,168759
168879,168846,168905
169023,168990,169049
169170,169136,169196
169316,169283,169342
169460,169427,169486
169606,169573,169632
169754,169720,169780
169900,169867,169926
170050,170016,170077
170197,170163,170223
170335,170300,170386
170483,170426,170543
170651,170598,170677
170785,170750,170802
171108,171037,171133
171215,171189,171249
171367,171333,171392
171799,171770,171832
171939,171916,171974
172259,172200,172284
172364,172348,172394
172522,172543,172583
172665,172634,172696
172813,172780,172845
173103,173072,173137
173966,173993,174064
175555,175520,175593
175701,175668,175728
175850,175816,175876
175996,175962,176022
176145,176110,176258
176290,176677,176838
176436,176677,176838
176510,176677,176838
176720,176677,176838
176870,177122,177213
177016,177122,177213
181285,181269,181322
181441,181406,181464
181512,181494,181543
181680,181644,181712
181956,181936,181996
182253,182225,182287
182408,182442,182495
182540,182714,182743
182833,182862,182947
183833,183797,183877
185282,185317,185404
186234,186185,186250
186410,186418,186447
186993,187006,187047
187124,187226,187263
187612,187622,187683
189941,189907,189968
190082,190049,190107
190222,190190,190247
190362,190330,190469
190500,191018,191166
190564,191018,191166
190767,191018,191166
190907,191018,191166
191053,191018,191166
191193,191282,191423
192118,192543,192606
192270,192543,192606
192424,192543,192606
192578,192543,192606
192730,192696,192758
192883,192848,192910
193038,193003,193066
193186,193152,193212
193337,193302,193364
193487,193453,193514
193631,193598,193657
193780,193746,193807
193930,193896,193957
194075,194042,194102
194222,194188,194248
194369,194335,194395
194515,194481,194558
194663,194629,194701
194811,194776,194833
194879,194861,194910
195045,195009,195076
195193,195160,195219
195336,195303,195362
195479,195446,195505
195621,195592,195694
195757,195732,195795
196044,196023,196071
196205,196321,196382
196355,196321,196382
196501,196468,196527
196640,196608,196665
196780,196747,196805
196919,196887,196944
197057,197025,197082
197614,197625,197678
200369,200389,200442
200893,200862,200918
201018,200990,201042
201147,201117,201170
201275,201245,201298
201400,201370,201423
201529,201499,201553
