peak_pos,onset,diastolic_notch
85,0.0,101.0
167,145.0,185.0
250,226.0,267.0
335,311.0,352.0
420,396.0,437.0
501,478.0,518.0
589,564.0,607.0
671,648.0,689.0
752,729.0,769.0
840,815.0,858.0
922,899.0,940.0
1005,982.0,1023.0
2148,2108.0,2162.0
2231,2206.0,2248.0
2323,2297.0,2341.0
2408,2385.0,2424.0
2495,2470.0,2534.0
2549,2626.0,2677.0
2767,2737.0,2787.0
2855,2832.0,2873.0
2942,2917.0,2960.0
3027,3003.0,3044.0
3120,3093.0,3138.0
3204,3181.0,3222.0
3285,3262.0,3302.0
3381,3353.0,3399.0
3474,3448.0,3492.0
3560,3536.0,3577.0
3649,3624.0,3667.0
3739,3714.0,3757.0
3829,3804.0,3846.0
3921,3895.0,3939.0
4011,3986.0,4029.0
4102,4077.0,4120.0
4192,4167.0,4210.0
4279,4255.0,4297.0
4370,4344.0,4388.0
4461,4436.0,4479.0
4548,4524.0,4566.0
4624,4603.0,4641.0
4721,4692.0,4738.0
4813,4788.0,4832.0
4906,4880.0,4924.0
4992,4968.0,5010.0
5079,5059.0,5100.0
5438,5415.0,5454.0
5528,5502.0,5545.0
5616,5591.0,5633.0
5705,5680.0,5722.0
5794,5769.0,5811.0
5882,5857.0,5900.0
5967,5943.0,5984.0
6059,6033.0,6077.0
6148,6123.0,6165.0
6242,6215.0,6260.0
6327,6304.0,6398.0
6409,6597.0,6665.0
6510,6597.0,6665.0
6588,6597.0,6665.0
6683,6727.0,6783.0
6758,6727.0,6783.0
6844,6828.0,6887.0
6927,6917.0,6961.0
7105,7085.0,7143.0
7222,7194.0,7246.0
7275,7352.0,7395.0
7825,7794.0,7850.0
8443,8421.0,8509.0
8891,8906.0,9001.0
8969,8906.0,9001.0
9964,9983.0,10052.0
10867,10817.0,10897.0
11998,11976.0,12025.0
12388,12409.0,12467.0
12632,12602.0,12669.0
12837,12802.0,12869.0
12996,13051.0,13089.0
13074,13051.0,13089.0
13173,13145.0,13192.0
13259,13235.0,13277.0
13350,13324.0,13368.0
13440,13415.0,13459.0
13511,13491.0,13531.0
13617,13588.0,13637.0
13707,13683.0,13725.0
13796,13771.0,13814.0
13878,13854.0,13913.0
13981,13940.0,14015.0
14048,14059.0,14102.0
14153,14215.0,14273.0
14230,14215.0,14273.0
14326,14301.0,14394.0
14417,14449.0,14513.0
14586,14561.0,14605.0
14675,14650.0,14693.0
14765,14740.0,14780.0
14843,14821.0,14860.0
14940,14912.0,14958.0
15033,15007.0,15051.0
15122,15097.0,15140.0
15210,15185.0,15227.0
15299,15274.0,15317.0
15388,15363.0,15405.0
15477,15452.0,15494.0
15566,15541.0,15652.0
15658,15674.0,15713.0
15836,15918.0,15970.0
15918,15918.0,15970.0
16001,15983.0,16067.0
16176,16244.0,16282.0
17068,17171.0,17201.0
17603,17634.0,17712.0
18231,18637.0,18744.0
18327,18637.0,18744.0
18412,18637.0,18744.0
18501,18637.0,18744.0
18560,18637.0,18744.0
19738,20527.0,20571.0
19839,20527.0,20571.0
19923,20527.0,20571.0
20013,20527.0,20571.0
20107,20527.0,20571.0
20192,20527.0,20571.0
20282,20527.0,20571.0
20376,20527.0,20571.0
20461,20527.0,20571.0
20554,20527.0,20571.0
20638,20615.0,20656.0
20724,20700.0,20739.0
20818,20791.0,20836.0
20909,20884.0,20927.0
20993,20970.0,21028.0
21168,21149.0,21193.0
21694,21674.0,21734.0
21749,21838.0,21892.0
21982,21953.0,22002.0
22065,22042.0,22084.0
22155,22129.0,22172.0
22247,22221.0,22265.0
22331,22308.0,22349.0
22417,22392.0,22434.0
22510,22484.0,22528.0
22592,22569.0,22610.0
22673,22650.0,22690.0
22769,22741.0,22787.0
22865,22838.0,22883.0
22953,22928.0,22970.0
23047,23020.0,23065.0
23142,23116.0,23160.0
23228,23204.0,23246.0
23322,23296.0,23340.0
23419,23392.0,23437.0
23505,23481.0,23523.0
23602,23574.0,23620.0
23692,23667.0,23755.0
23779,24210.0,24290.0
23873,24210.0,24290.0
23963,24210.0,24290.0
24046,24210.0,24290.0
24147,24210.0,24290.0
24236,24210.0,24290.0
26682,26725.0,26809.0
27059,27048.0,27142.0
27318,27330.0,27390.0
27595,27699.0,27740.0
27855,27861.0,27914.0
28223,28300.0,28359.0
28582,28730.0,28772.0
28667,28730.0,28772.0
28756,28730.0,28772.0
28845,28820.0,28861.0
28937,28911.0,28955.0
29022,28998.0,29039.0
