peak_pos,onset,diastolic_notch
237,220.0,259.0
430,407.0,467.0
576,548.0,612.0
653,751.0,803.0
1013,1043.0,1116.0
1290,1379.0,1443.0
1423,1379.0,1443.0
1698,1805.0,1871.0
1842,1805.0,1871.0
1979,1947.0,2051.0
2127,2091.0,2143.0
2557,2520.0,2589.0
2705,2670.0,2738.0
2853,2818.0,2886.0
3003,2968.0,3037.0
3148,3114.0,3180.0
3297,3261.0,3330.0
3444,3409.0,3476.0
3593,3558.0,3627.0
3738,3704.0,3770.0
3888,3853.0,3922.0
4031,3998.0,4064.0
4322,4288.0,4354.0
4467,4433.0,4499.0
4614,4579.0,4646.0
5340,5305.0,5372.0
5483,5449.0,5514.0
5627,5592.0,5659.0
5771,5737.0,5803.0
5918,5883.0,5950.0
6064,6029.0,6097.0
6211,6177.0,6244.0
6355,6321.0,6387.0
6500,6466.0,6532.0
6641,6608.0,6672.0
6788,6753.0,6820.0
6931,6897.0,6962.0
7077,7042.0,7109.0
7220,7186.0,7251.0
7366,7331.0,7399.0
7510,7476.0,7542.0
7657,7622.0,7690.0
7802,7768.0,7834.0
7950,7915.0,7983.0
8094,8060.0,8125.0
8242,8206.0,8275.0
8386,8352.0,8417.0
8532,8497.0,8565.0
8677,8643.0,8709.0
8824,8789.0,8856.0
8968,8934.0,9000.0
9117,9081.0,9150.0
9264,9230.0,9297.0
9412,9377.0,9445.0
9556,9522.0,9589.0
9700,9726.0,9780.0
9883,9816.0,9902.0
10265,10298.0,10358.0
10419,10385.0,10451.0
10564,10529.0,10596.0
10707,10674.0,10739.0
11147,11029.0,11179.0
11293,11259.0,11326.0
11442,11406.0,11475.0
11586,11552.0,11618.0
11733,11698.0,11765.0
11873,11842.0,11915.0
12163,12261.0,12336.0
12448,12413.0,12479.0
12594,12559.0,12627.0
12738,12704.0,12769.0
12884,12849.0,12917.0
13478,13491.0,13551.0
13767,13875.0,13929.0
15011,15038.0,15094.0
15186,15150.0,15235.0
15330,15362.0,15434.0
15409,15362.0,15434.0
15602,15562.0,15650.0
15742,15712.0,15773.0
15885,15851.0,15917.0
16022,15990.0,16053.0
16164,16130.0,16195.0
16309,16274.0,16341.0
16453,16419.0,16484.0
16597,16563.0,16629.0
16956,16872.0,16975.0
17168,17128.0,17221.0
17312,17282.0,17340.0
17396,17377.0,17435.0
17586,17545.0,17633.0
17728,17697.0,17760.0
17866,17833.0,17896.0
18005,17971.0,18034.0
18139,18112.0,18169.0
19912,19863.0,19929.0
20122,20147.0,20257.0
20362,20332.0,20408.0
20495,20446.0,20528.0
20749,20680.0,20765.0
21372,21324.0,21402.0
21765,21741.0,21790.0
22198,22174.0,22223.0
22402,22342.0,22431.0
22904,22875.0,22937.0
23046,23013.0,23078.0
23184,23151.0,23215.0
23324,23291.0,23356.0
23461,23429.0,23492.0
23602,23568.0,23634.0
23743,23936.0,23984.0
23887,23936.0,23984.0
25762,25809.0,25902.0
26090,26669.0,26761.0
26295,26669.0,26761.0
26440,26669.0,26761.0
26512,26669.0,26761.0
26712,26669.0,26761.0
26850,26820.0,26882.0
26989,26956.0,27020.0
27129,27096.0,27161.0
27273,27239.0,27305.0
27418,27384.0,27450.0
27564,27530.0,27598.0
28082,28157.0,28234.0
28216,28157.0,28234.0
28527,28575.0,28651.0
28723,28701.0,28757.0
28879,28860.0,28914.0
28950,29028.0,29071.0
29050,29028.0,29071.0
29162,29273.0,29336.0
29445,29411.0,29476.0
29579,29547.0,29609.0
29719,29685.0,29750.0
29858,29825.0,29890.0
30001,29967.0,30034.0
30142,30109.0,30173.0
30287,30252.0,30319.0
30434,30399.0,30467.0
30581,30547.0,30614.0
30728,30693.0,30760.0
30868,30835.0,30900.0
31013,30980.0,31034.0
31291,31257.0,31330.0
31424,31376.0,31444.0
31564,31512.0,31597.0
31706,31672.0,31737.0
31854,31819.0,31887.0
31998,31964.0,32030.0
32145,32110.0,32178.0
32451,32553.0,32610.0
32522,32553.0,32610.0
32724,32695.0,32739.0
32873,32833.0,32890.0
33140,33115.0,33162.0
33959,33942.0,33969.0
34104,34071.0,34135.0
34251,34216.0,34284.0
34398,34364.0,34431.0
34548,34513.0,34582.0
34695,34660.0,34727.0
34843,34807.0,34876.0
34985,34951.0,35016.0
35125,35092.0,35157.0
35267,35233.0,35299.0
35408,35375.0,35440.0
35549,35516.0,35581.0
35687,35654.0,35717.0
35823,35792.0,35849.0
36239,36205.0,36269.0
36376,36343.0,36407.0
36516,36483.0,36548.0
36656,36623.0,36687.0
36796,36763.0,36828.0
36938,36904.0,36969.0
37082,37047.0,37113.0
37223,37189.0,37275.0
37360,37330.0,37374.0
37523,37487.0,37548.0
38099,38064.0,38132.0
38241,38207.0,38272.0
38384,38350.0,38417.0
38526,38492.0,38557.0
38673,38638.0,38705.0
38814,38780.0,38845.0
38962,38927.0,38995.0
39107,39072.0,39137.0
39266,39372.0,39439.0
39415,39372.0,39439.0
39553,39634.0,39700.0
39689,39809.0,39851.0
39836,39809.0,39851.0
39985,40042.0,40083.0
40205,40255.0,40297.0
40422,40378.0,40474.0
40570,40540.0,40604.0
40642,40803.0,40897.0
40846,40803.0,40897.0
40985,40955.0,41018.0
41124,41092.0,41155.0
41257,41226.0,41287.0
41392,41360.0,41422.0
41527,41495.0,41557.0
41664,41632.0,41695.0
41799,41767.0,41829.0
41939,41906.0,41971.0
42077,42044.0,42108.0
42219,42185.0,42251.0
42359,42326.0,42390.0
42501,42467.0,42534.0
42643,42609.0,42674.0
42784,42751.0,42816.0
42927,42893.0,42959.0
43069,43035.0,43100.0
43209,43176.0,43240.0
43352,43318.0,43384.0
43494,43460.0,43526.0
43641,43667.0,43755.0
43804,43894.0,43936.0
43913,43894.0,43936.0
44205,44156.0,44217.0
44918,44885.0,44936.0
45068,45095.0,45141.0
45204,45299.0,45372.0
45631,45602.0,45649.0
45747,45782.0,45817.0
46149,46119.0,46179.0
46279,46248.0,46307.0
46415,46382.0,46447.0
46554,46577.0,46678.0
46684,46725.0,46862.0
47098,47212.0,47269.0
47522,47541.0,47620.0
48081,48049.0,48110.0
48222,48188.0,48254.0
48360,48327.0,48391.0
48501,48467.0,48533.0
48641,48608.0,48672.0
48783,48749.0,48816.0
48923,48890.0,48954.0
49067,49032.0,49099.0
49209,49175.0,49240.0
49357,49322.0,49390.0
49501,49467.0,49532.0
49649,49613.0,49682.0
49791,49757.0,49822.0
49933,49899.0,49965.0
50074,50041.0,50105.0
50219,50184.0,50251.0
50361,50327.0,50392.0
50506,50471.0,50538.0
50648,50614.0,50679.0
50792,50758.0,50824.0
50932,50899.0,50963.0
51078,51044.0,51111.0
51219,51186.0,51250.0
51364,51329.0,51396.0
51509,51475.0,51541.0
51659,51624.0,51693.0
51806,51772.0,51839.0
51963,51921.0,51990.0
52105,52075.0,52137.0
52252,52218.0,52277.0
52328,52309.0,52372.0
52535,52491.0,52586.0
52681,52651.0,52707.0
52758,52738.0,52799.0
52961,52917.0,53010.0
53110,53078.0,53143.0
53180,53339.0,53433.0
53382,53339.0,53433.0
53521,53492.0,53554.0
53663,53629.0,53694.0
53799,53766.0,53829.0
53939,53905.0,53971.0
54083,54048.0,54114.0
54237,54200.0,54271.0
54390,54355.0,54425.0
54459,54528.0,54565.0
54667,54626.0,54699.0
55021,54972.0,55075.0
55249,55424.0,55497.0
55395,55424.0,55497.0
55845,55812.0,55879.0
55993,55958.0,56025.0
56137,56103.0,56169.0
56281,56247.0,56313.0
56426,56392.0,56458.0
56570,56536.0,56602.0
56713,56680.0,56746.0
56857,56823.0,56888.0
57152,57284.0,57323.0
57456,57485.0,57548.0
57746,57709.0,57777.0
57893,57859.0,57927.0
57966,58133.0,58230.0
58177,58133.0,58230.0
58320,58290.0,58354.0
58460,58427.0,58490.0
58525,58684.0,58777.0
58727,58684.0,58777.0
58866,58836.0,58899.0
59005,58972.0,59035.0
59138,59106.0,59168.0
59278,59244.0,59309.0
59417,59384.0,59449.0
59564,59529.0,59596.0
59710,59676.0,59735.0
59791,59772.0,59834.0
60004,59959.0,60056.0
60161,60127.0,60196.0
60307,60273.0,60339.0
60452,60418.0,60484.0
60594,60560.0,60625.0
60737,60703.0,60769.0
60881,60847.0,60912.0
61027,60992.0,61059.0
61170,61136.0,61202.0
61318,61282.0,61349.0
61903,62598.0,62690.0
62058,62598.0,62690.0
62205,62598.0,62690.0
62353,62598.0,62690.0
62428,62598.0,62690.0
62645,62598.0,62690.0
62855,62934.0,62985.0
62958,62934.0,62985.0
63072,63045.0,63099.0
63214,63179.0,63246.0
63351,63319.0,63382.0
63491,63457.0,63522.0
63630,63597.0,63662.0
63772,63738.0,63803.0
63920,63885.0,63953.0
64071,64036.0,64106.0
64144,64314.0,64412.0
64359,64314.0,64412.0
64507,64476.0,64542.0
64578,64652.0,64704.0
64677,64652.0,64704.0
64795,64766.0,64822.0
64935,64902.0,64964.0
65363,65315.0,65404.0
65524,65486.0,65550.0
65672,65635.0,65703.0
65825,65786.0,65844.0
66485,66515.0,66607.0
66828,66864.0,66931.0
66908,66864.0,66931.0
67113,67069.0,67140.0
67249,67224.0,67287.0
67455,67491.0,67565.0
67651,67591.0,67693.0
67792,67762.0,67823.0
67931,67899.0,67960.0
68064,68032.0,68094.0
68202,68169.0,68233.0
68342,68309.0,68374.0
68484,68450.0,68515.0
68629,68594.0,68661.0
68773,68739.0,68805.0
68920,68885.0,68953.0
69065,69031.0,69097.0
69212,69178.0,69237.0
69300,69281.0,69327.0
69494,69452.0,69541.0
69637,69607.0,69663.0
69717,69699.0,69744.0
69914,69872.0,69962.0
70060,70029.0,70093.0
70131,70289.0,70382.0
70332,70289.0,70382.0
70471,70441.0,70504.0
70607,70575.0,70636.0
70743,70710.0,70774.0
70876,70845.0,70906.0
71013,70980.0,71044.0
71150,71117.0,71180.0
71289,71256.0,71321.0
71432,71398.0,71464.0
71576,71542.0,71608.0
71723,71688.0,71755.0
71866,71832.0,71898.0
72010,71976.0,72042.0
72154,72120.0,72186.0
72301,72266.0,72333.0
72444,72410.0,72475.0
72590,72555.0,72622.0
72731,72697.0,72762.0
72876,72841.0,72908.0
73020,72986.0,73051.0
73164,73130.0,73196.0
73306,73272.0,73337.0
73448,73414.0,73480.0
73585,73552.0,73615.0
73714,73684.0,73744.0
73839,73809.0,73867.0
73963,73933.0,73989.0
74086,74056.0,74114.0
74206,74177.0,74232.0
74331,74300.0,74358.0
74453,74424.0,74480.0
74577,74547.0,74605.0
74696,74668.0,74723.0
74816,74787.0,74843.0
74937,74908.0,74964.0
75055,75026.0,75140.0
75180,75263.0,75326.0
75416,75393.0,75437.0
75527,75500.0,75555.0
75645,75617.0,75672.0
75762,75734.0,75789.0
75877,75849.0,75903.0
75993,75965.0,76020.0
76108,76080.0,76134.0
76224,76196.0,76251.0
76341,76313.0,76368.0
76458,76430.0,76485.0
76577,76549.0,76605.0
76698,76669.0,76725.0
76818,76789.0,76845.0
76941,76912.0,76969.0
77062,77033.0,77089.0
77185,77156.0,77213.0
77305,77277.0,77332.0
77424,77396.0,77452.0
77543,77515.0,77571.0
77664,77635.0,77691.0
77784,77755.0,77811.0
77902,77874.0,77929.0
78019,77991.0,78046.0
78136,78108.0,78163.0
78250,78223.0,78276.0
78365,78337.0,78405.0
78471,78454.0,78532.0
78590,78611.0,78647.0
78717,78689.0,78761.0
78849,78798.0,78892.0
79563,79539.0,79590.0
79680,79652.0,79707.0
79797,79769.0,79824.0
79915,79886.0,79942.0
80032,80004.0,80059.0
80150,80121.0,80177.0
80269,80241.0,80297.0
80387,80359.0,80414.0
80505,80476.0,80532.0
80622,80594.0,80649.0
80737,80709.0,80763.0
80850,80823.0,80876.0
81655,81627.0,81681.0
81774,81746.0,81802.0
81891,81863.0,81918.0
82007,81979.0,82034.0
82123,82095.0,82150.0
82239,82211.0,82266.0
82353,82326.0,82379.0
82470,82442.0,82497.0
82696,82725.0,82789.0
82822,82906.0,82960.0
82934,82906.0,82960.0
83049,83021.0,83075.0
83162,83135.0,83188.0
83278,83250.0,83305.0
83392,83365.0,83418.0
83507,83479.0,83533.0
83619,83593.0,83645.0
83732,83705.0,83758.0
83845,83818.0,83870.0
83957,84003.0,84050.0
84190,84208.0,84235.0
84412,84435.0,84481.0
84524,84583.0,84620.0
84749,84762.0,84815.0
84881,84900.0,84966.0
85206,85158.0,85223.0
85456,85438.0,85478.0
85900,85931.0,85984.0
86482,86455.0,86508.0
86596,86568.0,86622.0
86719,86799.0,86846.0
86815,86799.0,86846.0
87053,87031.0,87079.0
87165,87139.0,87190.0
87274,87252.0,87305.0
87398,87368.0,87436.0
87505,87478.0,87529.0
87617,87589.0,87642.0
87728,87702.0,87754.0
87840,87814.0,87866.0
87953,87926.0,87979.0
88066,88039.0,88092.0
88180,88152.0,88206.0
88295,88267.0,88321.0
88411,88497.0,88544.0
88532,88497.0,88544.0
88643,88660.0,88729.0
88755,88841.0,88895.0
88869,88841.0,88895.0
88982,88955.0,89008.0
89096,89068.0,89122.0
89209,89182.0,89235.0
89323,89410.0,89458.0
89435,89410.0,89458.0
90195,90106.0,90229.0
91216,91281.0,91395.0
91893,91852.0,91920.0
93675,93679.0,93756.0
93771,93849.0,93901.0
93908,93959.0,94010.0
94012,94144.0,94188.0
94130,94144.0,94188.0
94478,94484.0,94531.0
94932,94961.0,95023.0
95953,95991.0,96043.0
96045,96139.0,96179.0
96161,96139.0,96179.0
96429,96373.0,96443.0
96735,96697.0,96763.0
96857,96812.0,96894.0
97022,96997.0,97041.0
97166,97252.0,97314.0
97382,97393.0,97441.0
97509,97521.0,97589.0
97825,97809.0,97852.0
98159,98134.0,98185.0
98269,98243.0,98294.0
98378,98352.0,98403.0
98488,98460.0,98514.0
98590,98567.0,98614.0
98710,98673.0,98724.0
98815,98790.0,98831.0
98927,98879.0,98945.0
99028,99000.0,99053.0
99143,99111.0,99167.0
99245,99225.0,99266.0
99467,99445.0,99493.0
99568,99544.0,99593.0
99804,99775.0,99826.0
99909,99882.0,99932.0
100024,99997.0,100050.0
100135,100108.0,100160.0
100247,100220.0,100273.0
100359,100333.0,100385.0
100470,100443.0,100495.0
100581,100554.0,100606.0
100691,100665.0,100716.0
100802,100775.0,100827.0
100912,100886.0,100937.0
101022,100996.0,101047.0
101131,101105.0,101156.0
101466,101490.0,101527.0
101570,101659.0,101720.0
101926,101988.0,102058.0
102133,102109.0,102171.0
102240,102212.0,102271.0
102457,102431.0,102490.0
102569,102653.0,102706.0
102815,102877.0,102932.0
103242,103213.0,103265.0
103352,103325.0,103377.0
103465,103438.0,103491.0
103576,103549.0,103601.0
103688,103664.0,103713.0
104938,104985.0,105065.0
105028,104985.0,105065.0
105288,105261.0,105382.0
105402,105604.0,105694.0
105662,105604.0,105694.0
105731,105710.0,105778.0
106148,106106.0,106234.0
107128,107058.0,107146.0
107207,107174.0,107261.0
107311,107372.0,107430.0
107410,107372.0,107430.0
108733,108703.0,108766.0
108839,108802.0,108861.0
108954,108925.0,108981.0
109072,109044.0,109099.0
109188,109161.0,109215.0
109306,109277.0,109333.0
109421,109393.0,109447.0
109538,109510.0,109565.0
109655,109627.0,109682.0
109774,109746.0,109802.0
109891,109863.0,109918.0
110012,109983.0,110040.0
110135,110105.0,110167.0
110249,110219.0,110277.0
110368,110341.0,110394.0
110485,110458.0,110507.0
110603,110574.0,110630.0
110720,110692.0,110746.0
110947,110928.0,110973.0
112637,112664.0,112716.0
113012,113054.0,113111.0
113155,113221.0,113281.0
113383,113355.0,113412.0
113507,113477.0,113534.0
113629,113600.0,113657.0
113750,113721.0,113777.0
113871,113842.0,113898.0
113994,113965.0,114022.0
114117,114087.0,114144.0
114239,114210.0,114267.0
114362,114333.0,114390.0
114486,114456.0,114514.0
114609,114580.0,114637.0
114732,114703.0,114760.0
114855,114825.0,114882.0
114974,114946.0,115001.0
115095,115066.0,115122.0
115215,115186.0,115242.0
115338,115308.0,115365.0
115460,115426.0,115480.0
115580,115550.0,115607.0
115700,115671.0,115727.0
115823,115793.0,115850.0
115945,115916.0,115973.0
116066,116037.0,116093.0
116190,116160.0,116218.0
116311,116282.0,116338.0
116433,116405.0,116535.0
116670,116653.0,116700.0
116794,116770.0,116822.0
116972,116889.0,117011.0
117165,117246.0,117327.0
117399,117435.0,117477.0
117523,117613.0,117669.0
117641,117613.0,117669.0
117761,117732.0,117788.0
117881,117852.0,117908.0
117997,117970.0,118024.0
118115,118204.0,118258.0
118232,118204.0,118258.0
118921,119006.0,119060.0
119034,119006.0,119060.0
119609,119693.0,119747.0
119721,119693.0,119747.0
119837,119809.0,119864.0
119952,119924.0,119978.0
120066,120039.0,120092.0
120182,120154.0,120209.0
120297,120269.0,120323.0
120517,120498.0,120543.0
121649,121583.0,121681.0
122368,122291.0,122383.0
122526,122667.0,122721.0
122607,122667.0,122721.0
123590,123556.0,123608.0
123648,123760.0,123826.0
123792,123760.0,123826.0
123892,123870.0,123920.0
124013,123984.0,124041.0
124122,124097.0,124147.0
124228,124203.0,124253.0
124333,124308.0,124358.0
124437,124412.0,124460.0
124502,124616.0,124686.0
124650,124616.0,124686.0
124760,124736.0,124786.0
124864,124839.0,124888.0
124967,124942.0,124991.0
125071,125046.0,125094.0
125137,125251.0,125320.0
125285,125251.0,125320.0
125394,125370.0,125420.0
125501,125477.0,125523.0
125617,125669.0,125736.0
125779,125890.0,125957.0
125922,125890.0,125957.0
126030,126006.0,126055.0
126134,126109.0,126157.0
126199,126309.0,126377.0
126342,126309.0,126377.0
126452,126427.0,126477.0
126555,126530.0,126578.0
126615,126729.0,126799.0
126763,126729.0,126799.0
126870,126846.0,126895.0
126974,126949.0,126997.0
127041,127146.0,127199.0
127288,127301.0,127344.0
127395,127386.0,127444.0
127583,127595.0,127641.0
127687,127705.0,127774.0
127749,127705.0,127774.0
128182,128160.0,128209.0
128283,128259.0,128305.0
128383,128358.0,128403.0
128479,128455.0,128501.0
128579,128554.0,128602.0
128679,128655.0,128702.0
128779,128755.0,128802.0
128882,128856.0,128904.0
129390,129365.0,129413.0
129489,129465.0,129512.0
129591,129566.0,129615.0
129691,129667.0,129714.0
129794,129768.0,129816.0
129859,129965.0,130030.0
129997,129965.0,130030.0
130100,130077.0,130124.0
130181,130163.0,130235.0
130246,130293.0,130326.0
130310,130293.0,130326.0
130373,130357.0,130389.0
130436,130420.0,130452.0
130499,130483.0,130515.0
130563,130546.0,130579.0
130629,130612.0,130646.0
130698,130680.0,130715.0
130771,130752.0,130788.0
130839,130821.0,130855.0
130911,130892.0,130928.0
130984,130965.0,131011.0
131105,131076.0,131134.0
131211,131187.0,131235.0
131317,131292.0,131342.0
131421,131396.0,131444.0
131478,131602.0,131670.0
131750,131721.0,131767.0
131852,131826.0,131882.0
131953,131929.0,131980.0
132061,132034.0,132081.0
132126,132142.0,132195.0
132273,132237.0,132300.0
132377,132353.0,132402.0
132481,132454.0,132502.0
132539,132649.0,132721.0
132696,132649.0,132721.0
132801,132780.0,132828.0
132910,132875.0,132936.0
133014,132989.0,133035.0
133122,133092.0,133145.0
133184,133220.0,133254.0
133329,133298.0,133364.0
133446,133421.0,133472.0
133556,133529.0,133578.0
133662,133636.0,133677.0
133767,133741.0,133813.0
133820,133951.0,134022.0
134092,134069.0,134119.0
134203,134176.0,134227.0
134306,134284.0,134333.0
134411,134391.0,134432.0
134472,134511.0,134538.0
134628,134592.0,134667.0
134737,134713.0,134763.0
134842,134817.0,134866.0
134945,134920.0,134969.0
135048,135023.0,135072.0
135150,135126.0,135174.0
135253,135228.0,135277.0
135360,135334.0,135385.0
135467,135441.0,135492.0
135575,135549.0,135599.0
135686,135659.0,135711.0
135795,135769.0,135820.0
135908,135881.0,135934.0
136019,135992.0,136044.0
136132,136105.0,136166.0
136241,136214.0,136263.0
136344,136326.0,136372.0
136573,136542.0,136596.0
136685,136661.0,136705.0
136909,136870.0,136932.0
137016,136977.0,137046.0
137130,137113.0,137180.0
137250,137215.0,137272.0
137466,137434.0,137481.0
137923,137895.0,137942.0
138040,137989.0,138063.0
138147,138121.0,138159.0
138257,138232.0,138307.0
138600,138566.0,138612.0
138706,138673.0,138732.0
138819,138792.0,138845.0
138932,138905.0,138958.0
139046,139018.0,139072.0
139163,139135.0,139190.0
139631,139596.0,139663.0
139741,139709.0,139767.0
139857,139830.0,139880.0
140556,140529.0,140582.0
140670,140642.0,140696.0
140784,140757.0,140810.0
140898,140870.0,140924.0
141012,140984.0,141038.0
141126,141098.0,141152.0
141241,141213.0,141267.0
141355,141328.0,141381.0
141470,141442.0,141496.0
141583,141556.0,141609.0
